,Total,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES,ON PREMISES,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE3,PROVINCE3,PROVINCE3,PROVINCE3,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT5,DISTRICT5,DISTRICT5,DISTRICT5
 Big Peach Soda (Br),10.73069,20.18277,12.53262,15.14432,12.05499,26.00373,13.39741,21.02927,10.37584,18.08795,13.81021,12.75889,10.16974,21.50046,3.72911,17.0953,10.80961,17.5338,11.60495,15.04659,9.46624,58.97379,35.99167,23.04415,0.0,0.0,0.0,0.0,10.98948,19.77402,8.5616,10.09664,10.23448,11.78122,11.4052,18.87612,11.03684,43.25808,16.66798,14.28449,6.01963,7.29381,8.51714,17.39674,13.50636,27.48799,24.02332,22.04184
  Lamonade (Fl),10.73069,20.18277,12.53262,15.14432,12.05499,26.00373,13.39741,21.02927,10.37584,18.08795,13.81021,12.75889,10.16974,21.50046,3.72911,17.0953,10.80961,17.5338,11.60495,15.04659,9.46624,58.97379,35.99167,23.04415,0.0,0.0,0.0,0.0,10.98948,19.77402,8.5616,10.09664,10.23448,11.78122,11.4052,18.87612,11.03684,43.25808,16.66798,14.28449,6.01963,7.29381,8.51714,17.39674,13.50636,27.48799,24.02332,22.04184
 Big Red Soda (Br),2.87442,3.3876,4.90257,4.85454,3.1072,3.1211,7.12169,5.07399,2.80242,3.80662,4.69338,4.79819,2.87401,1.22461,0.78651,4.58401,3.02672,3.63995,5.14599,4.96829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.13245,5.86948,9.53499,8.16225,1.24177,2.60848,3.17184,2.23694,1.4911,0.0,0.0,3.0723,1.54419,1.49155,0.62656,0.12909,5.86723,3.19615,6.15615,4.30827
  Lamonade (Fl),2.87442,3.3876,4.90257,4.85454,3.1072,3.1211,7.12169,5.07399,2.80242,3.80662,4.69338,4.79819,2.87401,1.22461,0.78651,4.58401,3.02672,3.63995,5.14599,4.96829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.13245,5.86948,9.53499,8.16225,1.24177,2.60848,3.17184,2.23694,1.4911,0.0,0.0,3.0723,1.54419,1.49155,0.62656,0.12909,5.86723,3.19615,6.15615,4.30827
 Bluna Orange (Br),12.62673,10.72566,7.52893,7.1076,10.30852,13.72494,9.90211,11.22529,13.43343,9.94165,6.91274,5.03597,11.71565,9.48266,5.20612,12.7102,13.03161,10.54521,7.82077,7.05204,3.92052,11.00815,1.33923,6.22732,48.69266,50.06844,3.68894,26.31795,3.44313,6.92707,4.71307,4.59043,25.77296,18.47117,13.41837,9.48335,5.81262,8.23529,3.85183,10.47095,15.92499,12.53311,2.45421,8.17889,4.1926,1.25429,5.50344,5.26969
  Citrus (Fl),12.62673,10.72566,7.52893,7.1076,10.30852,13.72494,9.90211,11.22529,13.43343,9.94165,6.91274,5.03597,11.71565,9.48266,5.20612,12.7102,13.03161,10.54521,7.82077,7.05204,3.92052,11.00815,1.33923,6.22732,48.69266,50.06844,3.68894,26.31795,3.44313,6.92707,4.71307,4.59043,25.77296,18.47117,13.41837,9.48335,5.81262,8.23529,3.85183,10.47095,15.92499,12.53311,2.45421,8.17889,4.1926,1.25429,5.50344,5.26969
 Chupa Chups Grape (Br),8.30309,7.32966,10.74098,9.25506,5.34622,4.79423,8.03247,7.15669,9.46376,8.27014,12.00473,9.58321,5.79718,6.57326,10.42293,14.05857,6.42332,7.22351,10.49618,9.14679,44.8473,7.19462,14.07611,16.55447,0.0,35.66867,26.09908,0.0,3.38114,2.71058,2.637,4.00636,10.73068,12.35319,15.13677,10.69865,28.95773,9.75614,19.52858,29.24184,7.73026,14.27819,13.63195,20.84548,0.8425,0.65319,8.08254,2.20065
  Cola (Fl),8.30309,7.32966,10.74098,9.25506,5.34622,4.79423,8.03247,7.15669,9.46376,8.27014,12.00473,9.58321,5.79718,6.57326,10.42293,14.05857,6.42332,7.22351,10.49618,9.14679,44.8473,7.19462,14.07611,16.55447,0.0,35.66867,26.09908,0.0,3.38114,2.71058,2.637,4.00636,10.73068,12.35319,15.13677,10.69865,28.95773,9.75614,19.52858,29.24184,7.73026,14.27819,13.63195,20.84548,0.8425,0.65319,8.08254,2.20065
 Chupa Chups Orange (Br),0.42813,0.64973,3.90151,0.39973,0.0,0.0,0.02251,0.0,0.60258,0.82007,1.35058,0.58714,0.0,0.91573,26.54613,0.0,0.45081,0.69813,4.09523,0.40909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82978,1.26637,1.66593,0.88249,0.20574,0.37554,0.88883,0.09582,0.0,0.0,0.0,0.0,0.0,1.87282,32.03018,0.0,0.22758,0.03403,0.09112,0.06887
  Pomegranate (Fl),0.42813,0.64973,3.90151,0.39973,0.0,0.0,0.02251,0.0,0.60258,0.82007,1.35058,0.58714,0.0,0.91573,26.54613,0.0,0.45081,0.69813,4.09523,0.40909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82978,1.26637,1.66593,0.88249,0.20574,0.37554,0.88883,0.09582,0.0,0.0,0.0,0.0,0.0,1.87282,32.03018,0.0,0.22758,0.03403,0.09112,0.06887
 Crush Orange Soda (Br),1.17069,2.09428,2.34539,1.74671,1.4092,1.5546,3.35807,3.2016,1.21162,2.58014,1.79945,1.36873,0.0,0.07422,2.85327,0.0,1.23271,2.25029,2.46184,1.78764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.60832,6.18584,4.89433,4.01607,0.17916,0.03146,0.5828,0.13359,0.0,0.0,0.0,0.0,0.0,0.1518,3.44272,0.0,0.70987,0.35657,2.35135,0.66329
  Orange (Fl),1.17069,2.09428,2.34539,1.74671,1.4092,1.5546,3.35807,3.2016,1.21162,2.58014,1.79945,1.36873,0.0,0.07422,2.85327,0.0,1.23271,2.25029,2.46184,1.78764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.60832,6.18584,4.89433,4.01607,0.17916,0.03146,0.5828,0.13359,0.0,0.0,0.0,0.0,0.0,0.1518,3.44272,0.0,0.70987,0.35657,2.35135,0.66329
 Crush Strawberry Soda (Br),11.75942,7.73933,9.82448,12.53399,7.47729,5.85225,8.57382,8.17051,12.53409,7.3888,10.74635,14.77575,17.37589,14.01253,7.88542,6.10779,12.3186,8.26772,9.89312,12.59965,0.92935,0.28427,4.41558,5.36081,12.55249,6.88972,34.76194,32.37082,13.59248,7.39094,11.81168,20.58103,13.77654,8.43606,10.84802,8.49794,4.26965,3.8257,6.45802,4.73976,13.85149,25.79765,3.50974,4.20412,2.28192,3.61343,10.08144,5.09393
  Orange (Fl),11.75942,7.73933,9.82448,12.53399,7.47729,5.85225,8.57382,8.17051,12.53409,7.3888,10.74635,14.77575,17.37589,14.01253,7.88542,6.10779,12.3186,8.26772,9.89312,12.59965,0.92935,0.28427,4.41558,5.36081,12.55249,6.88972,34.76194,32.37082,13.59248,7.39094,11.81168,20.58103,13.77654,8.43606,10.84802,8.49794,4.26965,3.8257,6.45802,4.73976,13.85149,25.79765,3.50974,4.20412,2.28192,3.61343,10.08144,5.09393
 Diet Coke (Br),0.84463,1.92198,1.39833,1.89258,0.93931,1.57976,1.98829,3.647,0.777,1.40941,0.98352,1.13083,1.2356,5.98141,2.20676,3.00691,0.77857,1.91739,1.3707,1.84159,2.14234,2.09847,2.25372,4.85447,0.0,0.0,0.0,0.0,0.26402,0.78411,0.16511,0.8863,0.54932,0.9013,1.69053,2.30131,5.68023,10.35393,5.64481,7.3517,0.0,0.0,0.0,0.0,0.4119,0.65292,0.7307,0.10564
  Apple (Fl),0.84463,1.92198,1.39833,1.89258,0.93931,1.57976,1.98829,3.647,0.777,1.40941,0.98352,1.13083,1.2356,5.98141,2.20676,3.00691,0.77857,1.91739,1.3707,1.84159,2.14234,2.09847,2.25372,4.85447,0.0,0.0,0.0,0.0,0.26402,0.78411,0.16511,0.8863,0.54932,0.9013,1.69053,2.30131,5.68023,10.35393,5.64481,7.3517,0.0,0.0,0.0,0.0,0.4119,0.65292,0.7307,0.10564
 Dr Pepper Cherry (Br),0.62435,0.83054,0.71767,0.39256,2.45805,2.77307,1.18689,0.98356,0.08149,0.27597,0.51951,0.1893,0.37327,0.32994,0.66272,0.20636,0.65743,0.89241,0.7533,0.40176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79317,0.35193,0.33476,0.36205,0.73981,1.75527,0.94043,0.57471,0.38503,0.69075,0.67817,0.41855,0.0,0.0,0.0,0.0,0.0,0.0,1.58078,0.0
  Lamonade (Fl),0.62435,0.83054,0.71767,0.39256,2.45805,2.77307,1.18689,0.98356,0.08149,0.27597,0.51951,0.1893,0.37327,0.32994,0.66272,0.20636,0.65743,0.89241,0.7533,0.40176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79317,0.35193,0.33476,0.36205,0.73981,1.75527,0.94043,0.57471,0.38503,0.69075,0.67817,0.41855,0.0,0.0,0.0,0.0,0.0,0.0,1.58078,0.0
 Dr Pepper Diet (Br),0.31864,0.74958,0.83784,0.87869,1.11385,2.72128,2.31968,3.14945,0.10378,0.22379,0.33745,0.11324,0.0,0.0,0.0,0.0,0.33552,0.80542,0.87944,0.89928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01014,0.23884,0.46775,0.07641,0.74087,1.86457,1.72551,2.27603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39054,0.0,0.71219,0.31638
  Lychee (Fl),0.31864,0.74958,0.83784,0.87869,1.11385,2.72128,2.31968,3.14945,0.10378,0.22379,0.33745,0.11324,0.0,0.0,0.0,0.0,0.33552,0.80542,0.87944,0.89928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01014,0.23884,0.46775,0.07641,0.74087,1.86457,1.72551,2.27603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39054,0.0,0.71219,0.31638
 Dr Pepper Original (Br),0.01507,0.10855,0.13654,0.23757,0.0,0.0,0.0,0.0,0.02121,0.16052,0.223,0.34896,0.0,0.0,0.0,0.0,0.01587,0.11664,0.14332,0.24314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.33162,0.44448,0.58509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Lamonade (Fl),0.01507,0.10855,0.13654,0.23757,0.0,0.0,0.0,0.0,0.02121,0.16052,0.223,0.34896,0.0,0.0,0.0,0.0,0.01587,0.11664,0.14332,0.24314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.33162,0.44448,0.58509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Fanta Apple (Br),0.56491,1.23728,1.05015,0.18537,0.26586,1.03977,0.38342,0.03611,0.57953,0.54816,0.02143,0.08581,1.35999,6.13951,8.06907,1.82074,0.59484,1.32945,1.10229,0.18971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01502,0.98796,0.01213,0.11778,0.02441,0.13132,0.02699,0.02957,0.0,0.0,0.0,0.0,3.36524,17.05492,10.82513,3.32623,0.0,0.0,0.0,0.0
  Cola (Fl),0.56491,1.23728,1.05015,0.18537,0.26586,1.03977,0.38342,0.03611,0.57953,0.54816,0.02143,0.08581,1.35999,6.13951,8.06907,1.82074,0.59484,1.32945,1.10229,0.18971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01502,0.98796,0.01213,0.11778,0.02441,0.13132,0.02699,0.02957,0.0,0.0,0.0,0.0,3.36524,17.05492,10.82513,3.32623,0.0,0.0,0.0,0.0
 Fanta Berry (Br),0.00349,0.01951,0.03372,0.03686,0.01586,0.08873,0.12393,0.14483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00367,0.02096,0.0354,0.03772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00879,0.05959,0.10977,0.09078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Lamonade (Fl),0.00349,0.01951,0.03372,0.03686,0.01586,0.08873,0.12393,0.14483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00367,0.02096,0.0354,0.03772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00879,0.05959,0.10977,0.09078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Faxe Kondi (Br),0.10317,0.00318,0.01803,0.00382,0.46923,0.01447,0.06624,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10864,0.00342,0.01892,0.00391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27636,0.00883,0.0518,0.01066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Cola (Fl),0.10317,0.00318,0.01803,0.00382,0.46923,0.01447,0.06624,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10864,0.00342,0.01892,0.00391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27636,0.00883,0.0518,0.01066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Gazoz Soda (Br),0.07555,0.12936,0.03085,0.34437,0.0,0.0,0.0,0.0,0.03922,0.08615,0.0,0.31478,0.68478,0.68417,0.26687,2.0111,0.07956,0.13899,0.03238,0.35244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07025,0.17798,0.0,0.52778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04777,1.39924,0.32201,3.40799,0.0,0.0,0.0,0.0
  Lamonade (Fl),0.07555,0.12936,0.03085,0.34437,0.0,0.0,0.0,0.0,0.03922,0.08615,0.0,0.31478,0.68478,0.68417,0.26687,2.0111,0.07956,0.13899,0.03238,0.35244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07025,0.17798,0.0,0.52778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04777,1.39924,0.32201,3.40799,0.0,0.0,0.0,0.0
 Mirinda Orange (Br),0.0,0.0,0.0875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75703,0.0,0.0,0.0,0.09185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91342,0.0,0.0,0.0,0.0,0.0
  Orange (Fl),0.0,0.0,0.0875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75703,0.0,0.0,0.0,0.09185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91342,0.0,0.0,0.0,0.0,0.0
 Orangina (Br),2.69874,0.10053,0.14482,0.20782,0.0,0.0,0.0,0.0,3.79844,0.14865,0.23651,0.30525,0.0,0.0,0.0,0.0,2.84173,0.10802,0.15201,0.21269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.22906,0.27918,0.41613,0.58026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Apple (Fl),2.41489,0.019,0.10115,0.06403,0.0,0.0,0.0,0.0,3.39892,0.02809,0.1652,0.09405,0.0,0.0,0.0,0.0,2.54284,0.02041,0.10617,0.06553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.46871,0.05275,0.29065,0.17877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Lychee (Fl),0.28385,0.08153,0.04367,0.14379,0.0,0.0,0.0,0.0,0.39951,0.12057,0.07132,0.21121,0.0,0.0,0.0,0.0,0.29889,0.08761,0.04583,0.14716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76034,0.22643,0.12548,0.40149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Paulaner Spezi (Br),0.0,0.0,0.2222,0.0,0.0,0.0,0.81655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68965,0.0
  Cola (Fl),0.0,0.0,0.2222,0.0,0.0,0.0,0.81655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68965,0.0
