Month,Category,shop_code,City,shop_type,Num Proj Factor,ACV Proj Factor,MKt segment3,MKt segment4,Urbanity,MKt segment5,Product_code,Vendor,Brand,Flavor,Packing_type,Size,Sub_brand,SKU,OpeningStock,Purchase,Stk1,Stk2,Price,Weights,Sale,Volume,Value,Purchase_Volume,Total_Stock_Volume,Forward_Stock_Volume,MKt segment2,MKt segment6,MKt segment7,MKt segment9
3,C,10,CityB,kioskType2,81.4050207,95.9292017,Grocery,Province1,ROU,District2,1622,Dr Pepper,AnW Cream Soda,Lamonade,PET,1.5 LT,Pepsi Cola Lime,(1622) | AnW Cream Soda | Pepsi Cola Lime - Lamonade - 1.5 LT - Dr Pepper,3,25,0.0,0.0,90,1500,69.5,10030.5,2113.5,37500,0,0,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,10,CityB,kioskType2,79.59327604,69.04249025,Grocery,Province1,ROU,District2,136, Africola,Afri Cola,Cola,CAR,250 ML,Pinecola,(136) | Afri Cola | Pinecola - Cola - 250 ML -  Africola,11,662,15.0,0.0,25,250,34.5,3203583.687,2363.5,165500,3750,3750,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,10,CityB,kioskType2,23.26469206,48.012233339999995,Grocery,Province1,ROU,District2,361,Gihauser,Barq Root Malt,Cola,PET,500 ML,Rivella Original,(361) | Barq Root Malt | Rivella Original - Cola - 500 ML - Gihauser,2,0,1.0,0.0,30,500,60.5,4147732.957,863.5,0,500,500,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,10,CityB,kioskType2,16.67741412,23.59511191,Grocery,Province1,ROU,District2,299,Gihauser,Barq Root Malt,Cola,PET,1 LT,Rivella Original,(299) | Barq Root Malt | Rivella Original - Cola - 1 LT - Gihauser,3,0,1.0,0.0,55,1000,180.5,1325685.267,783.5,0,1000,1000,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,10,CityB,kioskType2,33.232142859999996,48.012233339999995,Grocery,Province1,ROU,District2,271,Gihauser,Barq Root Malt,Cola,PET,2.25 LT,Rivella Original,(271) | Barq Root Malt | Rivella Original - Cola - 2.25 LT - Gihauser,0,1,1.0,0.0,100,2250,25.5,4530.5,6313.5,2250,2250,2250,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,10,CityB,kioskType2,56.3220339,35.37085638,Grocery,Province1,ROU,District2,197,Gihauser,Big Red Soda,Lamonade,PET,500 ML,Schweppes Lemon,(197) | Big Red Soda | Schweppes Lemon - Lamonade - 500 ML - Gihauser,2,0,1.0,0.0,35,500,56.5,85530.5,1413.5,0,500,500,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,10,CityB,kioskType2,101.15196078,48.012233339999995,Grocery,Province1,ROU,District2,279,Gihauser,Big Red Soda,Lamonade,PET,2.25 LT,Schweppes Lemon,(279) | Big Red Soda | Schweppes Lemon - Lamonade - 2.25 LT - Gihauser,0,1,1.0,0.0,100,2250,11.5,130530.5,32013.5,2250,2250,2250,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,10,CityB,kioskType2,34.71075723,41.850039339999995,Grocery,Province1,ROU,District2,136,Dr Pepper,Bluna Orange,Citrus,PET,1.5 LT,Seagram G Ale,(136) | Bluna Orange | Seagram G Ale - Citrus - 1.5 LT - Dr Pepper,3,25,0.0,0.0,90,1500,162.5,8530.5,4353.5,37500,0,0,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,10,CityB,kioskType2,33.232142859999996,59.73397428,Grocery,Province1,ROU,District2,269,Dr Pepper,Chupa Chups Grape,Cola,PET,1.5 LT,7Up Cherry,(269) | Chupa Chups Grape | 7Up Cherry - Cola - 1.5 LT - Dr Pepper,0,25,0.0,0.0,90,1500,101.5,319149.2633,29263.5,37500,0,0,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,10,CityB,kioskType2,79.59327604,48.012233339999995,Grocery,Province1,ROU,District2,228, Africola,Big Peach Soda,Lamonade,CAR,250 ML,Rubicon Sparkling Guava,(228) | Big Peach Soda | Rubicon Sparkling Guava - Lamonade - 250 ML -  Africola,7,165,12.0,0.0,25,250,12.5,800940.383,13813.5,41250,3000,3000,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,10,CityB,kioskType2,33.232142859999996,22.47812064,Grocery,Province1,ROU,District2,377, Africola,Big Peach Soda,Lamonade,PET,1.5 LT,Rubicon Sparkling Guava,(377) | Big Peach Soda | Rubicon Sparkling Guava - Lamonade - 1.5 LT -  Africola,3,69,5.0,0.0,100,1500,25.5,50030.5,7843.5,103500,7500,7500,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,10,CityB,kioskType2,101.15196078,8.209606727,Grocery,Province1,ROU,District2,227,Dr Pepper,AnW Cream Soda,Lamonade,PET,1 LT,Pepsi Cola Lime,(227) | AnW Cream Soda | Pepsi Cola Lime - Lamonade - 1 LT - Dr Pepper,2,25,0.0,0.0,70,1000,21.5,4030.5,1713.5,25000,0,0,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,10,CityB,kioskType2,71.35849243,41.850039339999995,Grocery,Province1,ROU,District2,276,Dr Pepper,Bluna Orange,Citrus,PET,1 LT,Seagram G Ale,(276) | Bluna Orange | Seagram G Ale - Citrus - 1 LT - Dr Pepper,3,25,0.0,0.0,70,1000,100.5,3030.5,643.5,25000,0,0,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,10,CityB,kioskType2,56.9375,22.47812064,Grocery,Province1,ROU,District2,1076,Dr Pepper,Chupa Chups Grape,Cola,PET,1 LT,7Up Cherry,(1076) | Chupa Chups Grape | 7Up Cherry - Cola - 1 LT - Dr Pepper,2,25,0.0,0.0,70,1000,232.5,56030.5,16263.5,25000,0,0,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,10,CityB,kioskType2,33.232142859999996,23.59511191,Grocery,Province1,ROU,District2,690, Africola,Almdudler,Orange,PET,1 LT,Pepsi Vanilla,(690) | Almdudler | Pepsi Vanilla - Orange - 1 LT -  Africola,2,27,3.0,0.0,70,1000,81.5,15030.5,4563.5,27000,3000,3000,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,10,CityB,kioskType2,25.20012163,35.37085638,Grocery,Province1,ROU,District2,362, Africola,Big Peach Soda,Lamonade,PET,1 LT,Rubicon Sparkling Guava,(362) | Big Peach Soda | Rubicon Sparkling Guava - Lamonade - 1 LT -  Africola,3,69,5.0,0.0,70,1000,136.5,2401331.923,3513.5,69000,5000,5000,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,10,CityB,kioskType2,101.15196078,69.04249025,Grocery,Province1,ROU,District2,309,Gihauser,Chupa Chups Orange,Pomegranate,PET,1 LT,7Up Lemonade,(309) | Chupa Chups Orange | 7Up Lemonade - Pomegranate - 1 LT - Gihauser,3,0,1.0,0.0,55,1000,17.5,1689778.229,35013.5,0,1000,1000,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,10,CityB,kioskType2,56.3220339,41.850039339999995,Grocery,Province1,ROU,District2,704,Gihauser,Chupa Chups Orange,Pomegranate,PET,1.5 LT,7Up Lemonade,(704) | Chupa Chups Orange | 7Up Lemonade - Pomegranate - 1.5 LT - Gihauser,3,0,1.0,0.0,80,1500,35.5,9530.5,18013.5,0,1500,1500,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,10,CityB,kioskType2,56.3220339,64.88324923,Grocery,Province1,ROU,District2,311,Gihauser,Crush Orange Soda,Orange,PET,2.25 LT,Spezi Original,(311) | Crush Orange Soda | Spezi Original - Orange - 2.25 LT - Gihauser,0,1,1.0,0.0,100,2250,20.5,9690.5,23013.5,2250,2250,2250,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,10,CityB,kioskType2,23.26469206,95.9292017,Grocery,Province1,ROU,District2,1265, Africola,Afri Cola,Cola,PET,1.5 LT,Pinecola,(1265) | Afri Cola | Pinecola - Cola - 1.5 LT -  Africola,4,69,4.0,0.0,100,1500,17.5,45030.5,20013.5,103500,6000,6000,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,10,CityB,kioskType2,25.20012163,84.165686,Grocery,Province1,ROU,District2,1129, Africola,Afri Cola,Cola,PET,1 LT,Pinecola,(1129) | Afri Cola | Pinecola - Cola - 1 LT -  Africola,5,69,5.0,0.0,70,1000,20.5,2030.5,8553.5,69000,5000,5000,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,10,CityB,kioskType2,81.4050207,41.850039339999995,Grocery,Province1,ROU,District2,1131, Africola,Afri Cola,Cola,PET,500 ML,Pinecola,(1131) | Afri Cola | Pinecola - Cola - 500 ML -  Africola,3,0,2.0,0.0,50,500,70.5,278580.5574,5013.5,0,1000,1000,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,11,CityB,kioskType2,33.232142859999996,69.04249025,Grocery,Province1,ROU,District2,306,Dr Pepper,AnW Cream Soda,Lamonade,CAR,250 ML,Pepsi Cola Lime,(306) | AnW Cream Soda | Pepsi Cola Lime - Lamonade - 250 ML - Dr Pepper,0,52,0.0,0.0,25,250,27.5,1030.5,5403.5,13000,0,0,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,11,CityB,kioskType2,13.90909091,145.598647,Grocery,Province1,ROU,District2,269,Dr Pepper,AnW Cream Soda,Lamonade,PET,1.5 LT,Pepsi Cola Lime,(269) | AnW Cream Soda | Pepsi Cola Lime - Lamonade - 1.5 LT - Dr Pepper,3,33,3.0,0.0,90,1500,9.5,68280.5,9013.5,49500,4500,4500,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,11,CityB,kioskType2,63.94622426,95.9292017,Grocery,Province1,ROU,District2,390,Dr Pepper,Crush Strawberry Soda,Orange,PET,1.5 LT,Sprite,(390) | Crush Strawberry Soda | Sprite - Orange - 1.5 LT - Dr Pepper,2,26,0.0,0.0,90,1500,81.5,625862.9923,3373.5,39000,0,0,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,11,CityB,kioskType2,33.232142859999996,33.25000638,Grocery,Province1,ROU,District2,16,Dr Pepper,Bluna Orange,Citrus,CAR,250 ML,Seagram G Ale,(16) | Bluna Orange | Seagram G Ale - Citrus - 250 ML - Dr Pepper,0,52,0.0,0.0,25,250,12.5,13830.5,1153.5,13000,0,0,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,11,CityB,kioskType2,16.67741412,95.9292017,Grocery,Province1,ROU,District2,1131,Dr Pepper,Bluna Orange,Citrus,PET,1.5 LT,Seagram G Ale,(1131) | Bluna Orange | Seagram G Ale - Citrus - 1.5 LT - Dr Pepper,4,33,5.0,0.0,90,1500,32.5,1028555.75,9673.5,49500,7500,7500,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,11,CityB,kioskType2,13.90909091,69.04249025,Grocery,Province1,ROU,District2,1614,Dr Pepper,Chupa Chups Grape,Cola,CAR,250 ML,7Up Cherry,(1614) | Chupa Chups Grape | 7Up Cherry - Cola - 250 ML - Dr Pepper,0,52,0.0,0.0,25,250,76.5,3745198.568,6513.5,13000,0,0,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,11,CityB,kioskType2,64.57142857,23.91858801,Grocery,Province1,ROU,District2,20,Dr Pepper,Chupa Chups Grape,Cola,PET,1.5 LT,7Up Cherry,(20) | Chupa Chups Grape | 7Up Cherry - Cola - 1.5 LT - Dr Pepper,3,33,4.0,0.0,90,1500,16.5,34530.5,5588.5,49500,6000,6000,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,11,CityB,kioskType2,58.65929204,22.47812064,Grocery,Province1,ROU,District2,499,Dr Pepper,AnW Cream Soda,Lamonade,PET,1 LT,Pepsi Cola Lime,(499) | AnW Cream Soda | Pepsi Cola Lime - Lamonade - 1 LT - Dr Pepper,3,33,4.0,0.0,70,1000,10.5,3542736.026,5173.5,33000,4000,4000,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,11,CityB,kioskType2,13.90909091,59.73397428,Grocery,Province1,ROU,District2,362,Dr Pepper,Bluna Orange,Citrus,PET,1 LT,Seagram G Ale,(362) | Bluna Orange | Seagram G Ale - Citrus - 1 LT - Dr Pepper,4,33,5.0,0.0,70,1000,111.5,69030.5,5013.5,33000,5000,5000,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,11,CityB,kioskType2,18.19230769,69.04249025,Grocery,Province1,ROU,District2,1127,Dr Pepper,Chupa Chups Grape,Cola,PET,1 LT,7Up Cherry,(1127) | Chupa Chups Grape | 7Up Cherry - Cola - 1 LT - Dr Pepper,3,33,5.0,0.0,70,1000,101.5,212280.5,10113.5,33000,5000,5000,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,11,CityB,kioskType2,79.59327604,8.209606727,Grocery,Province1,ROU,District2,1077,Dr Pepper,Crush Strawberry Soda,Orange,PET,1 LT,Sprite,(1077) | Crush Strawberry Soda | Sprite - Orange - 1 LT - Dr Pepper,2,13,0.0,0.0,70,1000,45.5,197780.6967,733.5,13000,0,0,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,11,CityB,kioskType2,33.232142859999996,48.012233339999995,Grocery,Province1,ROU,District2,20,Dr Pepper,Chupa Chups Grape,Cola,PET,345 ML,7Up Cherry,(20) | Chupa Chups Grape | 7Up Cherry - Cola - 345 ML - Dr Pepper,0,13,5.0,0.0,30,345,58.5,20530.5,47263.5,4485,1725,1725,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,11,CityB,kioskType2,34.71075723,95.9292017,Grocery,Province1,ROU,District2,674,Dr Pepper,AnW Cream Soda,Lamonade,PET,345 ML,Pepsi Cola Lime,(674) | AnW Cream Soda | Pepsi Cola Lime - Lamonade - 345 ML - Dr Pepper,0,13,5.0,0.0,30,345,29.5,234717.6846,5753.5,4485,1725,1725,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,11,CityB,kioskType2,56.3220339,92.12972275999999,Grocery,Province1,ROU,District2,390,Dr Pepper,Bluna Orange,Citrus,PET,345 ML,Seagram G Ale,(390) | Bluna Orange | Seagram G Ale - Citrus - 345 ML - Dr Pepper,0,13,2.0,0.0,30,345,10.5,1780.5,713.5,4485,690,690,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,11,CityB,kioskType2,14.55,64.88324923,Grocery,Province1,ROU,District2,1131,Hiego,Orangina,Lychee,PET,1.5 LT,Sunkist Orange,(1131) | Orangina | Sunkist Orange - Lychee - 1.5 LT - Hiego,1,0,1.0,0.0,100,1500,130.5,17030.5,4613.5,0,1500,1500,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,11,CityB,kioskType2,61.34090909,184.00088340000002,Grocery,Province1,ROU,District2,21,Hiego,Orangina,Apple,PET,1.5 LT,Sunkist Orange,(21) | Orangina | Sunkist Orange - Apple - 1.5 LT - Hiego,1,0,1.0,0.0,100,1500,391.5,68030.5,59013.5,0,1500,1500,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,12,CityB,kioskType2,61.03014578,140.00364230000002,Grocery,Province1,ROU,District2,1129,Dr Pepper,AnW Cream Soda,Lamonade,PET,1.5 LT,Pepsi Cola Lime,(1129) | AnW Cream Soda | Pepsi Cola Lime - Lamonade - 1.5 LT - Dr Pepper,8,52,5.0,0.0,90,1500,19.5,99030.5,3163.5,78000,7500,7500,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,12,CityB,kioskType2,79.59327604,30.168382570000002,Grocery,Province1,ROU,District2,1127, Africola,Afri Cola,Cola,CAR,250 ML,Pinecola,(1127) | Afri Cola | Pinecola - Cola - 250 ML -  Africola,0,228,15.0,0.0,25,250,72.5,3780.5,863.5,57000,3750,3750,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,12,CityB,kioskType2,22.18784751,23.91858801,Grocery,Province1,ROU,District2,300, Africola,Almdudler,Orange,CAR,250 ML,Pepsi Vanilla,(300) | Almdudler | Pepsi Vanilla - Orange - 250 ML -  Africola,0,38,0.0,0.0,25,250,253.5,4530.5,78763.5,9500,0,0,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,12,CityB,kioskType2,22.18784751,41.850039339999995,Grocery,Province1,ROU,District2,499, Africola,Almdudler,Orange,PET,1.5 LT,Pepsi Vanilla,(499) | Almdudler | Pepsi Vanilla - Orange - 1.5 LT -  Africola,0,38,3.0,0.0,100,1500,26.5,85530.5,3213.5,57000,4500,4500,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,12,CityB,kioskType2,101.15196078,8.209606727,Grocery,Province1,ROU,District2,279,Gihauser,Barq Root Malt,Cola,PET,2.25 LT,Rivella Original,(279) | Barq Root Malt | Rivella Original - Cola - 2.25 LT - Gihauser,0,12,0.0,0.0,100,2250,43.5,1171155.797,3013.5,27000,0,0,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,12,CityB,kioskType2,101.15196078,23.59511191,Grocery,Province1,ROU,District2,1131,Gihauser,Big Red Soda,Lamonade,PET,2.25 LT,Schweppes Lemon,(1131) | Big Red Soda | Schweppes Lemon - Lamonade - 2.25 LT - Gihauser,0,12,0.0,0.0,100,2250,12.5,23030.5,5533.5,27000,0,0,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,12,CityB,kioskType2,64.57142857,75.06670978,Grocery,Province1,ROU,District2,198,Dr Pepper,Bluna Orange,Citrus,PET,1.5 LT,Seagram G Ale,(198) | Bluna Orange | Seagram G Ale - Citrus - 1.5 LT - Dr Pepper,2,87,5.0,0.0,90,1500,479.5,32030.5,2353.5,130500,7500,7500,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,12,CityB,kioskType2,56.9375,145.598647,Grocery,Province1,ROU,District2,269,Dr Pepper,Chupa Chups Grape,Cola,PET,1.5 LT,7Up Cherry,(269) | Chupa Chups Grape | 7Up Cherry - Cola - 1.5 LT - Dr Pepper,3,70,5.0,0.0,90,1500,263.5,63530.5,2313.5,105000,7500,7500,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,12,CityB,kioskType2,33.232142859999996,35.37085638,Grocery,Province1,ROU,District2,179, Africola,Big Peach Soda,Lamonade,CAR,250 ML,Rubicon Sparkling Guava,(179) | Big Peach Soda | Rubicon Sparkling Guava - Lamonade - 250 ML -  Africola,7,228,15.0,0.0,25,250,22.5,115530.5,1213.5,57000,3750,3750,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,12,CityB,kioskType2,23.26469206,92.12972275999999,Grocery,Province1,ROU,District2,180, Africola,Big Peach Soda,Lamonade,PET,1.5 LT,Rubicon Sparkling Guava,(180) | Big Peach Soda | Rubicon Sparkling Guava - Lamonade - 1.5 LT -  Africola,15,95,5.0,0.0,100,1500,278.5,49530.5,1613.5,142500,7500,7500,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,12,CityB,kioskType2,18.19230769,63.066581629999995,Grocery,Province1,ROU,District2,180,Dr Pepper,AnW Cream Soda,Lamonade,PET,1 LT,Pepsi Cola Lime,(180) | AnW Cream Soda | Pepsi Cola Lime - Lamonade - 1 LT - Dr Pepper,8,44,4.0,0.0,70,1000,119.5,484561.6188,2353.5,44000,4000,4000,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,12,CityB,kioskType2,61.03014578,23.91858801,Grocery,Province1,ROU,District2,306,Dr Pepper,Bluna Orange,Citrus,PET,1 LT,Seagram G Ale,(306) | Bluna Orange | Seagram G Ale - Citrus - 1 LT - Dr Pepper,3,87,5.0,0.0,70,1000,72.5,48030.5,43513.5,87000,5000,5000,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,12,CityB,kioskType2,44.78378378,35.37085638,Grocery,Province1,ROU,District2,390,Dr Pepper,Chupa Chups Grape,Cola,PET,1 LT,7Up Cherry,(390) | Chupa Chups Grape | 7Up Cherry - Cola - 1 LT - Dr Pepper,2,70,4.0,0.0,70,1000,102.5,82030.5,3883.5,70000,4000,4000,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,12,CityB,kioskType2,44.78378378,23.91858801,Grocery,Province1,ROU,District2,197, Africola,Almdudler,Orange,PET,1 LT,Pepsi Vanilla,(197) | Almdudler | Pepsi Vanilla - Orange - 1 LT -  Africola,0,48,5.0,0.0,70,1000,46.5,29530.5,2533.5,48000,5000,5000,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,12,CityB,kioskType2,79.59327604,69.04249025,Grocery,Province1,ROU,District2,237, Africola,Big Peach Soda,Lamonade,PET,1 LT,Rubicon Sparkling Guava,(237) | Big Peach Soda | Rubicon Sparkling Guava - Lamonade - 1 LT -  Africola,11,95,5.0,6.0,70,1000,49.5,117030.5,6873.5,95000,11000,5000,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,12,CityB,kioskType2,34.71075723,22.47812064,Grocery,Province1,ROU,District2,276, Africola,Afri Cola,Cola,PET,1.5 LT,Pinecola,(276) | Afri Cola | Pinecola - Cola - 1.5 LT -  Africola,16,95,5.0,6.0,100,1500,130.5,115530.5,42013.5,142500,16500,7500,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,12,CityB,kioskType2,33.232142859999996,24.65065357,Grocery,Province1,ROU,District2,16, Africola,Afri Cola,Cola,PET,1 LT,Pinecola,(16) | Afri Cola | Pinecola - Cola - 1 LT -  Africola,16,95,4.0,6.0,70,1000,18.5,1608181.78,2803.5,95000,10000,4000,Rest of urban Overall,National Urban,District2 Franchise,Grocery (Urban)
3,C,16,CityB,kioskType1,34.71075723,95.9292017,Convenience,Province1,ROU,District2,179,Dr Pepper,AnW Cream Soda,Lamonade,CAR,250 ML,Pepsi Cola Lime,(179) | AnW Cream Soda | Pepsi Cola Lime - Lamonade - 250 ML - Dr Pepper,12,261,15.0,0.0,25,250,50.5,64030.5,2253.5,65250,3750,3750,Rest of urban Overall,National Urban,District2 Franchise,Convenience (Urban)
3,C,16,CityB,kioskType1,63.94622426,59.73397428,Convenience,Province1,ROU,District2,1263,Dr Pepper,AnW Cream Soda,Lamonade,PET,1.5 LT,Pepsi Cola Lime,(1263) | AnW Cream Soda | Pepsi Cola Lime - Lamonade - 1.5 LT - Dr Pepper,14,78,5.0,12.0,90,1500,60.5,309494.7658,13.5,117000,25500,7500,Rest of urban Overall,National Urban,District2 Franchise,Convenience (Urban)
3,C,16,CityB,kioskType1,79.59327604,140.00364230000002,Convenience,Province1,ROU,District2,270,Munaken,Diet Coke,Apple,PET,500 ML,Tango Apple,(270) | Diet Coke | Tango Apple - Apple - 500 ML - Munaken,11,26,8.0,0.0,50,500,18.5,41030.5,4413.5,13000,4000,4000,Rest of urban Overall,National Urban,District2 Franchise,Convenience (Urban)
