Date,Hour,Program,Speakers,Program_Type,Duration
2/17/2024,0300-0400,Trailers,SPEAKER_30,Trailers,4
2/17/2024,0300-0400,Trailers,SPEAKER_33,Trailers,44
2/17/2024,0300-0400,Trailers,SPEAKER_34,Trailers,3
2/17/2024,0300-0400,Trailers,SPEAKER_35,Trailers,27
2/17/2024,0300-0400,Trailers,SPEAKER_36,Trailers,90
2/17/2024,0300-0400,Trailers,SPEAKER_38,Trailers,28
2/17/2024,0300-0400,Trailers,SPEAKER_39,Trailers,27
2/17/2024,0300-0400,Trailers,SPEAKER_40,Trailers,24
2/17/2024,0300-0400,Trailers,SPEAKER_41,Trailers,28
2/17/2024,0300-0400,Trailers,SPEAKER_42,Trailers,12
2/17/2024,0300-0400,Trailers,SPEAKER_43,Trailers,7
2/17/2024,0300-0400,Trailers,SPEAKER_44,Trailers,6
2/17/2024,0400-0500,News HL,Multiple,News HL,119
2/17/2024,0400-0500,News HL,SPEAKER_01,News HL,200
2/17/2024,0400-0500,News HL,SPEAKER_02,News HL,7
2/17/2024,0400-0500,NuktaItraz,Multiple,Talkshow,327
2/17/2024,0400-0500,NuktaItraz,SPEAKER_03,Talkshow,448
2/17/2024,0400-0500,NuktaItraz,SPEAKER_05,Talkshow,649
2/17/2024,0400-0500,NuktaItraz,SPEAKER_06,Talkshow,653
2/17/2024,0400-0500,NuktaItraz,SPEAKER_08,Talkshow,588
2/17/2024,0400-0500,Trailers,Multiple,Trailers,52
2/17/2024,0400-0500,Trailers,SPEAKER_09,Trailers,232
2/17/2024,0400-0500,Trailers,SPEAKER_10,Trailers,37
2/17/2024,0400-0500,Trailers,SPEAKER_11,Trailers,6
2/17/2024,0400-0500,Trailers,SPEAKER_12,Trailers,7
2/17/2024,0400-0500,Trailers,SPEAKER_13,Trailers,34
2/17/2024,0500-0600,Hadith,Multiple,Hadith,75
2/17/2024,0500-0600,Hadith,SPEAKER_08,Hadith,23
2/17/2024,0500-0600,Iqra,Multiple,Quran,1216
2/17/2024,0500-0600,Iqra,SPEAKER_03,Quran,117
2/17/2024,0500-0600,Iqra,SPEAKER_04,Quran,240
2/17/2024,0500-0600,Iqra,SPEAKER_05,Quran,4
2/17/2024,0500-0600,Iqra,SPEAKER_07,Quran,1296
2/17/2024,0500-0600,Naat,Multiple,Naat,26
2/17/2024,0500-0600,Naat,SPEAKER_05,Naat,56
2/17/2024,0500-0600,News HL,Multiple,News HL,114
2/17/2024,0500-0600,News HL,SPEAKER_01,News HL,10
2/17/2024,0500-0600,News HL,SPEAKER_02,News HL,161
2/17/2024,0500-0600,News HL,SPEAKER_06,News HL,16
2/17/2024,0500-0600,News HL,SPEAKER_07,News HL,4
2/17/2024,1200-0100,News  ,Multiple,News  ,559
2/17/2024,1200-0100,News  ,SPEAKER_01,News  ,576
2/17/2024,1200-0100,News  ,SPEAKER_03,News  ,430
2/17/2024,1200-0100,News  ,SPEAKER_05,News  ,36
2/17/2024,1200-0100,News  ,SPEAKER_06,News  ,28
2/17/2024,1200-0100,News  ,SPEAKER_07,News  ,25
2/17/2024,1200-0100,News  ,SPEAKER_08,News  ,18
2/17/2024,1200-0100,News  ,SPEAKER_09,News  ,49
2/17/2024,1200-0100,News  ,SPEAKER_10,News  ,38
2/17/2024,1200-0100,News  ,SPEAKER_11,News  ,9
2/17/2024,1200-0100,News  ,SPEAKER_12,News  ,30
2/17/2024,1200-0100,News  ,SPEAKER_13,News  ,18
2/17/2024,1200-0100,News  ,SPEAKER_14,News  ,47
2/17/2024,1200-0100,News  ,SPEAKER_15,News  ,46
2/17/2024,1200-0100,News  ,SPEAKER_16,News  ,61
2/17/2024,1200-0100,News  ,SPEAKER_17,News  ,32
2/17/2024,1200-0100,News  ,SPEAKER_18,News  ,13
2/17/2024,1200-0100,News  ,SPEAKER_19,News  ,9
2/17/2024,1200-0100,News  ,SPEAKER_20,News  ,8
2/17/2024,1200-0100,News  ,SPEAKER_21,News  ,10
2/17/2024,1200-0100,News  ,SPEAKER_22,News  ,11
2/17/2024,1200-0100,News  ,SPEAKER_23,News  ,23
2/17/2024,1200-0100,News  ,SPEAKER_24,News  ,10
2/17/2024,1200-0100,News  ,SPEAKER_25,News  ,18
2/17/2024,1200-0100,News  ,SPEAKER_27,News  ,51
2/17/2024,1200-0100,News  ,SPEAKER_28,News  ,18
2/17/2024,1200-0100,News  ,SPEAKER_29,News  ,71
2/17/2024,1200-0100,News  ,SPEAKER_32,News  ,12
2/17/2024,1200-0100,News  ,SPEAKER_33,News  ,6
2/17/2024,1200-0100,News  ,SPEAKER_34,News  ,76
2/17/2024,1200-0100,News  ,SPEAKER_35,News  ,22
2/17/2024,1200-0100,News  ,SPEAKER_36,News  ,27
2/17/2024,1200-0100,News  ,SPEAKER_37,News  ,228
2/17/2024,1200-0100,News  ,SPEAKER_38,News  ,12
2/17/2024,1200-0100,News HL,Multiple,News HL,52
2/17/2024,1200-0100,News HL,SPEAKER_01,News HL,136
2/17/2024,1200-0100,News HL,SPEAKER_03,News HL,90
2/17/2024,1200-0100,Trailers,Multiple,Trailers,90
2/17/2024,1200-0100,Trailers,SPEAKER_04,Trailers,4
2/17/2024,1200-0100,Trailers,SPEAKER_12,Trailers,2
2/17/2024,1200-0100,Trailers,SPEAKER_13,Trailers,3
2/17/2024,1200-0100,Trailers,SPEAKER_29,Trailers,5
2/17/2024,1200-0100,Trailers,SPEAKER_31,Trailers,6
2/17/2024,1200-0100,Trailers,SPEAKER_38,Trailers,10
2/17/2024,1200-0100,Trailers,SPEAKER_39,Trailers,5
2/17/2024,1200-0100,Trailers,SPEAKER_40,Trailers,4
2/17/2024,1200-0100,Trailers,SPEAKER_41,Trailers,5
2/17/2024,1200-0100,Trailers,SPEAKER_42,Trailers,53
2/17/2024,1200-0100,Trailers,SPEAKER_43,Trailers,17
2/17/2024,1200-0100,Trailers,SPEAKER_44,Trailers,20
2/17/2024,1200-0100,Trailers,SPEAKER_45,Trailers,7
2/17/2024,1200-0100,Trailers,SPEAKER_46,Trailers,4
2/17/2024,1200-0100,Trailers,SPEAKER_47,Trailers,40
2/17/2024,2200-2300,DarHaqeeqat,Multiple,TalkShow,588
2/17/2024,2200-2300,DarHaqeeqat,SPEAKER_03,TalkShow,12
2/17/2024,2200-2300,DarHaqeeqat,SPEAKER_04,TalkShow,556
2/17/2024,2200-2300,DarHaqeeqat,SPEAKER_05,TalkShow,1511
2/17/2024,2200-2300,DarHaqeeqat,SPEAKER_06,TalkShow,8
2/17/2024,2200-2300,DarHaqeeqat,SPEAKER_07,TalkShow,15
2/17/2024,2200-2300,DarHaqeeqat,SPEAKER_09,TalkShow,16
2/17/2024,2200-2300,DarHaqeeqat,SPEAKER_10,TalkShow,36
2/17/2024,2200-2300,DarHaqeeqat,SPEAKER_11,TalkShow,6
2/17/2024,2200-2300,DarHaqeeqat,SPEAKER_12,TalkShow,35
2/17/2024,2200-2300,DarHaqeeqat,SPEAKER_13,TalkShow,147
2/17/2024,2200-2300,News HL,Multiple,News HL,52
2/17/2024,2200-2300,News HL,SPEAKER_01,News HL,160
2/17/2024,2200-2300,News HL,SPEAKER_03,News HL,21
2/17/2024,2200-2300,News HL,SPEAKER_04,News HL,37
2/17/2024,2200-2300,News HL,SPEAKER_05,News HL,2
2/17/2024,2200-2300,Trailers,Multiple,Trailers,10
2/17/2024,2200-2300,Trailers,SPEAKER_04,Trailers,16
2/17/2024,2200-2300,Trailers,SPEAKER_07,Trailers,23
2/17/2024,2200-2300,Trailers,SPEAKER_10,Trailers,45
2/17/2024,2200-2300,Trailers,SPEAKER_11,Trailers,49
2/17/2024,2200-2300,Trailers,SPEAKER_14,Trailers,58
2/18/2024,0100-0200,MainAurAap,Multiple,TalkShow,778
2/18/2024,0100-0200,MainAurAap,SPEAKER_02,TalkShow,441
2/18/2024,0100-0200,MainAurAap,SPEAKER_05,TalkShow,691
2/18/2024,0100-0200,MainAurAap,SPEAKER_06,TalkShow,381
2/18/2024,0100-0200,MainAurAap,SPEAKER_07,TalkShow,287
2/18/2024,0100-0200,MainAurAap,SPEAKER_08,TalkShow,3
2/18/2024,0100-0200,MainAurAap,SPEAKER_09,TalkShow,7
2/18/2024,0100-0200,Naat,Multiple,Naat,135
2/18/2024,0100-0200,Naat,SPEAKER_03,Naat,120
2/18/2024,0100-0200,Naat,SPEAKER_09,Naat,141
2/18/2024,0100-0200,News HL,SPEAKER_01,News HL,238
2/18/2024,0100-0200,News HL,SPEAKER_02,News HL,21
2/18/2024,0200-0300,Naat,Multiple,Naat,5
2/18/2024,0200-0300,Naat,SPEAKER_09,Naat,265
2/18/2024,0200-0300,Naat,SPEAKER_10,Naat,15
2/18/2024,0200-0300,New HL,Multiple,New HL,7
2/18/2024,0200-0300,New HL,SPEAKER_07,New HL,17
2/18/2024,0200-0300,News HL,Multiple,News HL,4
2/18/2024,0200-0300,News HL,SPEAKER_01,News HL,325
2/18/2024,0200-0300,News HL,SPEAKER_02,News HL,22
2/18/2024,0200-0300,News HL,SPEAKER_04,News HL,4
2/18/2024,0200-0300,SochnaHoga,Multiple,TalkShow,392
2/18/2024,0200-0300,SochnaHoga,SPEAKER_01,TalkShow,581
2/18/2024,0200-0300,SochnaHoga,SPEAKER_03,TalkShow,11
2/18/2024,0200-0300,SochnaHoga,SPEAKER_04,TalkShow,648
2/18/2024,0200-0300,SochnaHoga,SPEAKER_06,TalkShow,579
2/18/2024,0300-0400,AsmaUlHusna,Multiple,Hamd,140
2/18/2024,0300-0400,AsmaUlHusna,SPEAKER_27,Hamd,6
2/18/2024,0300-0400,AsmaUlHusna,SPEAKER_28,Hamd,95
2/18/2024,0300-0400,Naat,Multiple,Naat,129
2/18/2024,0300-0400,Naat,SPEAKER_28,Naat,219
2/18/2024,0300-0400,Naat,SPEAKER_29,Naat,154
2/18/2024,0300-0400,New HL,Multiple,New HL,14
2/18/2024,0300-0400,New HL,SPEAKER_02,New HL,102
2/18/2024,0300-0400,New HL,SPEAKER_03,New HL,132
2/18/2024,0300-0400,New HL,SPEAKER_04,New HL,27
2/18/2024,0300-0400,News,Multiple,News,426
2/18/2024,0300-0400,News,SPEAKER_02,News,444
2/18/2024,0300-0400,News,SPEAKER_03,News,380
2/18/2024,0300-0400,News,SPEAKER_04,News,22
2/18/2024,0300-0400,News,SPEAKER_05,News,34
2/18/2024,0300-0400,News,SPEAKER_06,News,103
2/18/2024,0300-0400,News,SPEAKER_07,News,57
2/18/2024,0300-0400,News,SPEAKER_08,News,33
2/18/2024,0300-0400,News,SPEAKER_09,News,34
2/18/2024,0300-0400,News,SPEAKER_10,News,37
2/18/2024,0300-0400,News,SPEAKER_11,News,8
2/18/2024,0300-0400,News,SPEAKER_12,News,70
2/18/2024,0300-0400,News,SPEAKER_13,News,44
2/18/2024,0300-0400,News,SPEAKER_14,News,7
2/18/2024,0300-0400,News,SPEAKER_15,News,20
2/18/2024,0300-0400,News,SPEAKER_16,News,31
2/18/2024,0300-0400,News,SPEAKER_17,News,1
2/18/2024,0300-0400,News,SPEAKER_18,News,14
2/18/2024,0300-0400,News,SPEAKER_19,News,5
2/18/2024,0300-0400,News,SPEAKER_20,News,7
2/18/2024,0300-0400,News,SPEAKER_21,News,38
2/18/2024,0300-0400,News,SPEAKER_22,News,39
2/18/2024,0300-0400,News,SPEAKER_24,News,117
2/18/2024,0300-0400,News,SPEAKER_25,News,39
2/18/2024,0300-0400,News,SPEAKER_28,News,4
2/25/2024,1700-1800,News HL,Multiple,News HL,52
2/25/2024,1700-1800,News HL,SPEAKER_02,News HL,199
2/25/2024,1700-1800,News HL,SPEAKER_05,News HL,3
2/25/2024,1700-1800,News_conf,Multiple,Breaking News,23
2/25/2024,1700-1800,News_conf,SPEAKER_11,Breaking News,699
2/25/2024,1700-1800,News_conf,SPEAKER_12,Breaking News,13
2/25/2024,1700-1800,News_conf,SPEAKER_13,Breaking News,5
2/25/2024,1700-1800,Sadrang,Multiple,Interview,458
2/25/2024,1700-1800,Sadrang,SPEAKER_03,Interview,97
2/25/2024,1700-1800,Sadrang,SPEAKER_04,Interview,722
2/25/2024,1700-1800,Sadrang,SPEAKER_05,Interview,936
2/25/2024,1700-1800,Sadrang,SPEAKER_10,Interview,12
2/25/2024,1700-1800,Sadrang,SPEAKER_13,Interview,62
3/1/2024,1100-1200,SpeakerSpeech,SPEAKER_01,National Assembly,449
3/15/2024,1150-1257,NA_Oath,Multiple,National Assembly,1356
3/15/2024,1150-1257,NA_Oath,SPEAKER_02,National Assembly,540
3/15/2024,1150-1257,NA_Oath,SPEAKER_03,National Assembly,188
3/15/2024,1150-1257,NA_Oath,SPEAKER_04,National Assembly,34
3/15/2024,1150-1257,NA_Oath,SPEAKER_05,National Assembly,35
3/15/2024,1150-1257,NA_Oath,SPEAKER_06,National Assembly,28
3/15/2024,1150-1257,NA_Oath,SPEAKER_07,National Assembly,153
3/15/2024,1150-1257,NA_Oath,SPEAKER_08,National Assembly,13
3/15/2024,1150-1257,NA_Oath,SPEAKER_09,National Assembly,35
3/15/2024,1150-1257,NA_Oath,SPEAKER_10,National Assembly,12
3/15/2024,1150-1257,NA_Oath,SPEAKER_11,National Assembly,374
3/15/2024,1150-1257,NA_Oath,SPEAKER_12,National Assembly,410
3/15/2024,1150-1257,NA_Oath,SPEAKER_13,National Assembly,34
3/15/2024,1150-1257,NA_Oath,SPEAKER_15,National Assembly,47
3/15/2024,1150-1257,NA_Oath,SPEAKER_16,National Assembly,269
3/8/2024,0100-0200,MainAurAap,Multiple,TalkShow,656
3/8/2024,0100-0200,MainAurAap,SPEAKER_03,TalkShow,20
3/8/2024,0100-0200,MainAurAap,SPEAKER_04,TalkShow,263
3/8/2024,0100-0200,MainAurAap,SPEAKER_08,TalkShow,328
3/8/2024,0100-0200,MainAurAap,SPEAKER_09,TalkShow,504
3/8/2024,0100-0200,MainAurAap,SPEAKER_10,TalkShow,812
3/8/2024,0100-0200,New HL,Multiple,New HL,3
3/8/2024,0100-0200,New HL,SPEAKER_05,New HL,45
3/8/2024,0100-0200,News HL,Multiple,News HL,44
3/8/2024,0100-0200,News HL,SPEAKER_02,News HL,6
3/8/2024,0100-0200,News HL,SPEAKER_03,News HL,238
3/8/2024,0100-0200,Trailers,Multiple,Trailers,176
3/8/2024,0100-0200,Trailers,SPEAKER_01,Trailers,119
3/8/2024,0100-0200,Trailers,SPEAKER_04,Trailers,15
3/8/2024,0100-0200,Trailers,SPEAKER_11,Trailers,31
4/1/2024,1900-2000,GoharKaySaath,Multiple,TalkShow,320
4/1/2024,1900-2000,GoharKaySaath,SPEAKER_03,TalkShow,267
4/1/2024,1900-2000,GoharKaySaath,SPEAKER_07,TalkShow,313
4/1/2024,1900-2000,GoharKaySaath,SPEAKER_08,TalkShow,260
4/1/2024,1900-2000,GoharKaySaath,SPEAKER_09,TalkShow,337
4/1/2024,1900-2000,Jaiza,Multiple,Interview,50
4/1/2024,1900-2000,Jaiza,SPEAKER_03,Interview,28
4/1/2024,1900-2000,Jaiza,SPEAKER_12,Interview,1411
4/1/2024,1900-2000,Naat,Multiple,Naat,57
4/1/2024,1900-2000,Naat,SPEAKER_06,Naat,6
4/1/2024,1900-2000,Naat,SPEAKER_13,Naat,28
4/1/2024,1900-2000,News HL,Multiple,News HL,65
4/1/2024,1900-2000,News HL,SPEAKER_02,News HL,127
4/1/2024,1900-2000,News HL,SPEAKER_04,News HL,1
4/1/2024,1900-2000,Raast,Multiple,Ads,1
4/1/2024,1900-2000,Raast,SPEAKER_03,Ads,3
4/1/2024,1900-2000,Raast,SPEAKER_04,Ads,2
4/1/2024,1900-2000,Raast,SPEAKER_05,Ads,19
4/1/2024,2000-2100,Dua,Multiple,Hadeeth,16
4/1/2024,2000-2100,Dua,SPEAKER_03,Hadeeth,-7080
4/1/2024,2000-2100,Dua,SPEAKER_04,Hadeeth,16
4/1/2024,2000-2100,Dua,SPEAKER_05,Hadeeth,28
4/1/2024,2000-2100,News HL,Multiple,News HL,143
4/1/2024,2000-2100,News HL,SPEAKER_01,News HL,135
4/1/2024,2000-2100,News HL,SPEAKER_07,News HL,6
4/1/2024,2000-2100,Riasat,Multiple,TalkShow,390
4/1/2024,2000-2100,Riasat,SPEAKER_07,TalkShow,644
4/1/2024,2000-2100,Riasat,SPEAKER_08,TalkShow,481
4/1/2024,2000-2100,Riasat,SPEAKER_09,TalkShow,571
4/1/2024,2000-2100,Riasat,SPEAKER_11,TalkShow,5
4/1/2024,2000-2100,Riasat,SPEAKER_12,TalkShow,223
4/1/2024,2000-2100,Riasat,SPEAKER_14,TalkShow,314
4/1/2024,2000-2100,Trailers,Multiple,Trailers,82
4/1/2024,2000-2100,Trailers,SPEAKER_01,Trailers,17
4/1/2024,2000-2100,Trailers,SPEAKER_03,Trailers,80
4/1/2024,2000-2100,Trailers,SPEAKER_13,Trailers,4
4/1/2024,2000-2100,Trailers,SPEAKER_15,Trailers,15
4/2/2024,1900-2000,GoharKaySaath,Multiple,TalkShow,430
4/2/2024,1900-2000,GoharKaySaath,SPEAKER_06,TalkShow,373
4/2/2024,1900-2000,GoharKaySaath,SPEAKER_07,TalkShow,430
4/2/2024,1900-2000,GoharKaySaath,SPEAKER_08,TalkShow,900
4/2/2024,1900-2000,GoharKaySaath,SPEAKER_10,TalkShow,480
4/2/2024,1900-2000,GoharKaySaath,SPEAKER_11,TalkShow,12
4/2/2024,1900-2000,Naat,Multiple,Naat,65
4/2/2024,1900-2000,Naat,SPEAKER_03,Naat,80
4/2/2024,1900-2000,News HL,Multiple,News HL,21
4/2/2024,1900-2000,News HL,SPEAKER_01,News HL,217
4/2/2024,1900-2000,News HL,SPEAKER_04,News HL,2
4/2/2024,1900-2000,News HL,SPEAKER_07,News HL,2
4/2/2024,1900-2000,Trailers,Multiple,Trailers,143
4/2/2024,1900-2000,Trailers,SPEAKER_03,Trailers,26
4/2/2024,1900-2000,Trailers,SPEAKER_04,Trailers,10
4/2/2024,1900-2000,Trailers,SPEAKER_05,Trailers,4
4/2/2024,1900-2000,Trailers,SPEAKER_09,Trailers,29
4/2/2024,1900-2000,Trailers,SPEAKER_12,Trailers,63
4/2/2024,2000-2100,Ads,Multiple,Ads,3
4/2/2024,2000-2100,Ads,SPEAKER_05,Ads,2
4/2/2024,2000-2100,Ads,SPEAKER_06,Ads,14
4/2/2024,2000-2100,Ads,SPEAKER_07,Ads,3
4/2/2024,2000-2100,Azaan,Multiple,Azaan,84
4/2/2024,2000-2100,Azaan,SPEAKER_03,Azaan,54
4/2/2024,2000-2100,News HL,Multiple,News HL,111
4/2/2024,2000-2100,News HL,SPEAKER_01,News HL,65
4/2/2024,2000-2100,Riasat,Multiple,TalkShow,503
4/2/2024,2000-2100,Riasat,SPEAKER_03,TalkShow,3
4/2/2024,2000-2100,Riasat,SPEAKER_05,TalkShow,5
4/2/2024,2000-2100,Riasat,SPEAKER_07,TalkShow,988
4/2/2024,2000-2100,Riasat,SPEAKER_08,TalkShow,201
4/2/2024,2000-2100,Riasat,SPEAKER_09,TalkShow,469
4/2/2024,2000-2100,Riasat,SPEAKER_10,TalkShow,456
4/2/2024,2000-2100,Trailers,Multiple,Trailers,72
4/2/2024,2000-2100,Trailers,SPEAKER_01,Trailers,2
4/2/2024,2000-2100,Trailers,SPEAKER_03,Trailers,142
4/2/2024,2000-2100,Trailers,SPEAKER_04,Trailers,5
4/2/2024,2000-2100,Trailers,SPEAKER_11,Trailers,9
4/2/2024,2100-2200,News,Multiple,News,807
4/2/2024,2100-2200,News,SPEAKER_01,News,23
4/2/2024,2100-2200,News,SPEAKER_02,News,525
4/2/2024,2100-2200,News,SPEAKER_03,News,477
4/2/2024,2100-2200,News,SPEAKER_04,News,98
4/2/2024,2100-2200,News,SPEAKER_05,News,58
4/2/2024,2100-2200,News,SPEAKER_06,News,20
4/2/2024,2100-2200,News,SPEAKER_07,News,60
4/2/2024,2100-2200,News,SPEAKER_08,News,3
4/2/2024,2100-2200,News,SPEAKER_09,News,8
4/2/2024,2100-2200,News,SPEAKER_10,News,171
4/2/2024,2100-2200,News,SPEAKER_11,News,88
4/2/2024,2100-2200,News,SPEAKER_12,News,62
4/2/2024,2100-2200,News,SPEAKER_13,News,22
4/2/2024,2100-2200,News,SPEAKER_14,News,28
4/2/2024,2100-2200,News,SPEAKER_15,News,7
4/2/2024,2100-2200,News,SPEAKER_17,News,6
4/2/2024,2100-2200,News,SPEAKER_18,News,39
4/2/2024,2100-2200,News,SPEAKER_19,News,14
4/2/2024,2100-2200,News,SPEAKER_20,News,17
4/2/2024,2100-2200,News,SPEAKER_21,News,17
4/2/2024,2100-2200,News,SPEAKER_22,News,12
4/2/2024,2100-2200,News,SPEAKER_23,News,21
4/2/2024,2100-2200,News,SPEAKER_24,News,5
4/2/2024,2100-2200,News,SPEAKER_26,News,5
4/2/2024,2100-2200,News,SPEAKER_27,News,42
4/2/2024,2100-2200,News,SPEAKER_28,News,4
4/2/2024,2100-2200,News,SPEAKER_29,News,11
4/2/2024,2100-2200,News,SPEAKER_31,News,13
4/2/2024,2100-2200,News,SPEAKER_32,News,31
4/2/2024,2100-2200,News,SPEAKER_34,News,6
4/2/2024,2100-2200,News,SPEAKER_35,News,7
4/2/2024,2100-2200,News,SPEAKER_36,News,39
4/2/2024,2100-2200,News,SPEAKER_37,News,32
4/2/2024,2100-2200,News,SPEAKER_38,News,9
4/2/2024,2100-2200,News,SPEAKER_39,News,28
4/2/2024,2100-2200,News,SPEAKER_41,News,5
4/2/2024,2100-2200,News,SPEAKER_43,News,34
4/2/2024,2100-2200,News,SPEAKER_44,News,5
4/2/2024,2100-2200,News,SPEAKER_45,News,12
4/2/2024,2100-2200,News,SPEAKER_46,News,26
4/2/2024,2100-2200,Trailers,Multiple,Trailers,62
4/2/2024,2100-2200,Trailers,SPEAKER_03,Trailers,65
4/2/2024,2100-2200,Trailers,SPEAKER_08,Trailers,73
4/2/2024,2100-2200,Trailers,SPEAKER_30,Trailers,30
4/2/2024,2100-2200,Trailers,SPEAKER_48,Trailers,67
4/2/2024,2100-2200,Trailers,SPEAKER_49,Trailers,39
4/28/2024,1500-1600,kardalo,Multiple,ShahzebKhanzadah,211
4/28/2024,1500-1600,kardalo,SPEAKER_01,ShahzebKhanzadah,568
4/28/2024,1500-1600,kardalo,SPEAKER_02,ShahzebKhanzadah,211
4/28/2024,1500-1600,kardalo,SPEAKER_03,ShahzebKhanzadah,243
4/28/2024,1500-1600,kardalo,SPEAKER_04,ShahzebKhanzadah,275
4/28/2024,1500-1600,kardalo,SPEAKER_05,ShahzebKhanzadah,304
