,Total,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES,ON PREMISES,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE3,PROVINCE3,PROVINCE3,PROVINCE3,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT5,DISTRICT5,DISTRICT5,DISTRICT5
 Big Peach Soda (Br),10.37339,10.09681,9.59837,10.70339,11.15019,13.03595,10.15437,11.72121,10.45287,8.99055,9.8523,10.49161,7.67893,9.00875,6.09134,8.9641,10.31738,9.73408,9.30213,10.02779,11.55388,17.32854,14.90998,21.5642,,,,,9.2265,9.1762,7.87221,8.84998,10.47025,8.92854,8.36288,11.12317,10.49255,12.32748,13.33142,15.14635,7.81825,9.59999,12.27487,8.80914,15.97747,15.41118,13.09774,11.25983
  Lamonade (Fl),10.37339,10.09681,9.59837,10.70339,11.15019,13.03595,10.15437,11.72121,10.45287,8.99055,9.8523,10.49161,7.67893,9.00875,6.09134,8.9641,10.31738,9.73408,9.30213,10.02779,11.55388,17.32854,14.90998,21.5642,0.0,0.0,0.0,0.0,9.2265,9.1762,7.87221,8.84998,10.47025,8.92854,8.36288,11.12317,10.49255,12.32748,13.33142,15.14635,7.81825,9.59999,12.27487,8.80914,15.97747,15.41118,13.09774,11.25983
 Big Red Soda (Br),4.60146,4.20657,4.89715,4.66652,4.48162,3.79892,4.17881,3.65741,4.70036,4.84068,5.08896,5.3077,4.25524,0.77182,5.71067,2.83478,4.96796,4.47531,5.25169,5.01911,,,,,,,,,6.21223,7.78147,7.81236,6.83162,4.35313,2.96738,4.13176,4.36603,1.90109,,,1.19534,2.86969,0.58042,3.96024,1.54655,3.57139,2.93621,4.22796,3.27519
  Lamonade (Fl),4.60146,4.20657,4.89715,4.66652,4.48162,3.79892,4.17881,3.65741,4.70036,4.84068,5.08896,5.3077,4.25524,0.77182,5.71067,2.83478,4.96796,4.47531,5.25169,5.01911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.21223,7.78147,7.81236,6.83162,4.35313,2.96738,4.13176,4.36603,1.90109,0.0,0.0,1.19534,2.86969,0.58042,3.96024,1.54655,3.57139,2.93621,4.22796,3.27519
 Bluna Orange (Br),8.85934,8.1923,8.41367,9.22159,7.89344,8.04623,7.36989,8.38009,9.12889,7.85274,8.4817,8.93303,9.68473,11.1895,11.10229,14.48329,8.73157,8.03487,8.51261,9.25082,8.84981,10.17667,5.35836,7.16591,47.91786,15.53068,26.00103,25.91891,7.60705,6.37633,7.09888,8.80157,10.54005,10.11369,10.57653,9.96816,10.73824,9.91726,7.13363,10.53247,10.27573,13.85702,9.74501,17.41145,4.72795,2.39594,6.36332,3.40856
  Citrus (Fl),8.85934,8.1923,8.41367,9.22159,7.89344,8.04623,7.36989,8.38009,9.12889,7.85274,8.4817,8.93303,9.68473,11.1895,11.10229,14.48329,8.73157,8.03487,8.51261,9.25082,8.84981,10.17667,5.35836,7.16591,47.91786,15.53068,26.00103,25.91891,7.60705,6.37633,7.09888,8.80157,10.54005,10.11369,10.57653,9.96816,10.73824,9.91726,7.13363,10.53247,10.27573,13.85702,9.74501,17.41145,4.72795,2.39594,6.36332,3.40856
 Chupa Chups Grape (Br),8.33594,8.79902,7.44951,9.09065,5.93045,5.90755,5.80459,5.37489,8.86897,9.52219,8.27436,9.73703,11.33909,12.59323,6.55506,16.48573,7.89271,8.12842,6.84211,8.87875,14.49971,17.53293,14.7986,13.05725,,37.19705,27.51969,,6.02316,6.2454,4.33323,7.9664,10.69456,10.14246,10.44482,11.16058,12.57482,16.5871,12.429,9.95953,9.65329,9.94451,7.22566,14.15358,2.95481,2.63241,2.43487,3.43483
  Cola (Fl),8.33594,8.79902,7.44951,9.09065,5.93045,5.90755,5.80459,5.37489,8.86897,9.52219,8.27436,9.73703,11.33909,12.59323,6.55506,16.48573,7.89271,8.12842,6.84211,8.87875,14.49971,17.53293,14.7986,13.05725,0.0,37.19705,27.51969,0.0,6.02316,6.2454,4.33323,7.9664,10.69456,10.14246,10.44482,11.16058,12.57482,16.5871,12.429,9.95953,9.65329,9.94451,7.22566,14.15358,2.95481,2.63241,2.43487,3.43483
 Chupa Chups Orange (Br),0.76913,1.11386,1.58825,0.90805,,,1.28778,,1.19187,1.41815,1.68575,1.39526,,2.38375,1.80509,,0.83039,1.18502,1.70323,0.97666,,,,,,,,,1.10968,1.26441,2.46065,1.71703,0.75686,0.54149,0.42025,0.24889,,,,,,4.00157,2.50358,,0.90797,2.63241,3.73401,1.55849
  Pomegranate (Fl),0.76913,1.11386,1.58825,0.90805,0.0,0.0,1.28778,0.0,1.19187,1.41815,1.68575,1.39526,0.0,2.38375,1.80509,0.0,0.83039,1.18502,1.70323,0.97666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10968,1.26441,2.46065,1.71703,0.75686,0.54149,0.42025,0.24889,0.0,0.0,0.0,0.0,0.0,4.00157,2.50358,0.0,0.90797,2.63241,3.73401,1.55849
 Crush Orange Soda (Br),2.39419,2.35659,2.5975,2.07229,4.147,3.03287,3.92139,2.3684,2.03582,2.27898,2.14512,2.20061,,0.78636,1.80509,,2.58488,2.50714,2.78555,2.22887,,,,,,,,,5.18358,5.8855,5.32811,4.5375,0.42142,0.23614,0.79194,0.75756,,,,,,1.32005,2.50358,,2.49527,0.90332,2.73962,0.61417
  Orange (Fl),2.39419,2.35659,2.5975,2.07229,4.147,3.03287,3.92139,2.3684,2.03582,2.27898,2.14512,2.20061,0.0,0.78636,1.80509,0.0,2.58488,2.50714,2.78555,2.22887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18358,5.8855,5.32811,4.5375,0.42142,0.23614,0.79194,0.75756,0.0,0.0,0.0,0.0,0.0,1.32005,2.50358,0.0,2.49527,0.90332,2.73962,0.61417
 Crush Strawberry Soda (Br),8.56946,8.24222,8.28264,7.20138,8.79203,6.67189,7.26764,6.54654,8.38594,7.88323,8.39351,7.11195,9.21146,15.91049,10.57738,10.18161,8.80424,8.45904,8.63507,7.4352,3.61991,0.66975,0.48042,0.46301,52.08214,47.27227,36.347,41.40519,8.79396,11.10632,8.95575,7.07613,9.55866,6.19476,9.53276,7.46493,7.64166,7.21548,7.21233,7.59396,7.97524,8.66285,5.32127,8.37901,5.80803,6.51644,5.22066,5.83474
  Orange (Fl),8.56946,8.24222,8.28264,7.20138,8.79203,6.67189,7.26764,6.54654,8.38594,7.88323,8.39351,7.11195,9.21146,15.91049,10.57738,10.18161,8.80424,8.45904,8.63507,7.4352,3.61991,0.66975,0.48042,0.46301,52.08214,47.27227,36.347,41.40519,8.79396,11.10632,8.95575,7.07613,9.55866,6.19476,9.53276,7.46493,7.64166,7.21548,7.21233,7.59396,7.97524,8.66285,5.32127,8.37901,5.80803,6.51644,5.22066,5.83474
 Diet Coke (Br),2.11601,2.30245,1.89598,1.85851,3.57211,3.39754,2.68524,2.65013,1.52376,1.83213,1.50401,1.44822,2.14601,2.3307,2.29792,2.531,2.11319,2.17875,1.81307,1.77921,2.24406,4.65612,3.31214,3.1921,,,,,1.87191,1.77964,0.71906,1.41975,1.81376,1.53034,1.64616,1.50502,5.29779,6.93047,6.21393,5.5617,,,,,0.90797,2.529,2.64912,0.567
  Apple (Fl),2.11601,2.30245,1.89598,1.85851,3.57211,3.39754,2.68524,2.65013,1.52376,1.83213,1.50401,1.44822,2.14601,2.3307,2.29792,2.531,2.11319,2.17875,1.81307,1.77921,2.24406,4.65612,3.31214,3.1921,0.0,0.0,0.0,0.0,1.87191,1.77964,0.71906,1.41975,1.81376,1.53034,1.64616,1.50502,5.29779,6.93047,6.21393,5.5617,0.0,0.0,0.0,0.0,0.90797,2.529,2.64912,0.567
 Dr Pepper Cherry (Br),1.33466,1.39125,1.99807,1.67566,3.11098,3.59848,3.40093,2.53403,0.72274,0.507,1.42827,1.15455,0.61331,0.97312,1.80509,3.03338,1.44096,1.48013,2.14273,1.80226,,,,,,,,,0.96359,0.66582,1.16652,1.71253,1.962,2.65263,3.10157,1.69976,2.33833,1.38969,2.77439,3.30485,,,,,,,1.40853,
  Lamonade (Fl),1.33466,1.39125,1.99807,1.67566,3.11098,3.59848,3.40093,2.53403,0.72274,0.507,1.42827,1.15455,0.61331,0.97312,1.80509,3.03338,1.44096,1.48013,2.14273,1.80226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96359,0.66582,1.16652,1.71253,1.962,2.65263,3.10157,1.69976,2.33833,1.38969,2.77439,3.30485,0.0,0.0,0.0,0.0,0.0,0.0,1.40853,0.0
 Dr Pepper Diet (Br),0.97953,0.99908,1.10924,1.13479,1.42273,2.59246,3.53077,2.90477,0.9435,0.45422,0.23423,0.53735,,,,,1.05755,1.06291,1.18955,1.22053,,,,,,,,,0.2119,0.77426,0.41499,0.71712,2.22123,1.94922,2.23176,2.22341,,,,,,,,,1.68907,,1.5718,1.09147
  Lychee (Fl),0.97953,0.99908,1.10924,1.13479,1.42273,2.59246,3.53077,2.90477,0.9435,0.45422,0.23423,0.53735,0.0,0.0,0.0,0.0,1.05755,1.06291,1.18955,1.22053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2119,0.77426,0.41499,0.71712,2.22123,1.94922,2.23176,2.22341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68907,0.0,1.5718,1.09147
 Dr Pepper Original (Br),0.19754,0.27815,0.16128,0.08339,,,,,0.30612,0.43393,0.25244,0.12814,,,,,0.21328,0.29592,0.17295,0.0897,,,,,,,,,0.50752,0.77426,0.46607,0.21559,,,,,,,,,,,,,,,,
  Lamonade (Fl),0.19754,0.27815,0.16128,0.08339,0.0,0.0,0.0,0.0,0.30612,0.43393,0.25244,0.12814,0.0,0.0,0.0,0.0,0.21328,0.29592,0.17295,0.0897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50752,0.77426,0.46607,0.21559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Fanta Apple (Br),0.92237,0.87098,0.76218,0.52091,0.42662,0.73341,0.73861,0.52866,0.83193,0.61242,0.44242,0.49115,2.91411,3.23694,3.12039,0.7398,0.99583,0.92663,0.81737,0.56027,,,,,,,,,0.73427,0.85997,0.12155,0.61074,0.75686,0.22608,0.6834,0.24889,,,,,7.39649,9.34633,7.44404,4.92207,,,,
  Cola (Fl),0.92237,0.87098,0.76218,0.52091,0.42662,0.73341,0.73861,0.52866,0.83193,0.61242,0.44242,0.49115,2.91411,3.23694,3.12039,0.7398,0.99583,0.92663,0.81737,0.56027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73427,0.85997,0.12155,0.61074,0.75686,0.22608,0.6834,0.24889,0.0,0.0,0.0,0.0,7.39649,9.34633,7.44404,4.92207,0.0,0.0,0.0,0.0
 Fanta Berry (Br),0.14131,0.12185,0.16128,0.05568,0.5424,0.44622,0.59341,0.20601,,,,,,,,,0.15257,0.12964,0.17295,0.05989,,,,,,,,,0.36305,0.33919,0.46607,0.14394,,,,,,,,,,,,,,,,
  Lamonade (Fl),0.14131,0.12185,0.16128,0.05568,0.5424,0.44622,0.59341,0.20601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15257,0.12964,0.17295,0.05989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36305,0.33919,0.46607,0.14394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Faxe Kondi (Br),0.25105,0.38003,0.08381,0.25384,0.9636,1.39167,0.30839,0.9392,,,,,,,,,0.27105,0.40431,0.08988,0.27302,,,,,,,,,,,,,0.75686,1.02749,0.23808,0.75756,,,,,,,,,,,,
  Cola (Fl),0.25105,0.38003,0.08381,0.25384,0.9636,1.39167,0.30839,0.9392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27105,0.40431,0.08988,0.27302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75686,1.02749,0.23808,0.75756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Gazoz Soda (Br),0.32668,0.41542,0.34999,0.33723,,,,,0.23178,0.25102,,0.39003,1.88116,2.96199,3.91728,1.05675,0.35269,0.44196,0.37533,0.36271,,,,,,,,,0.38426,0.44789,,0.65621,,,,,,,,,3.39804,4.97225,5.4331,2.03948,,,,
  Lamonade (Fl),0.32668,0.41542,0.34999,0.33723,0.0,0.0,0.0,0.0,0.23178,0.25102,0.0,0.39003,1.88116,2.96199,3.91728,1.05675,0.35269,0.44196,0.37533,0.36271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38426,0.44789,0.0,0.65621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39804,4.97225,5.4331,2.03948,0.0,0.0,0.0,0.0
 Mirinda Orange (Br),,,0.25511,,,,,,,,,,,,2.85534,,,,0.27358,,,,,,,,,,,,,,,,,,,,,,,,3.96024,,,,,
  Orange (Fl),0.0,0.0,0.25511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85534,0.0,0.0,0.0,0.27358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96024,0.0,0.0,0.0,0.0,0.0
 Orangina (Br),0.15224,0.25452,0.08381,0.20428,,,,,0.23592,0.39707,0.13119,0.31389,,,,,0.16437,0.27078,0.08988,0.21972,,,,,,,,,,,,,0.45898,0.68816,0.23808,0.60967,,,,,,,,,,,,
  Apple (Fl),0.15224,0.25452,0.08381,0.08711,0.0,0.0,0.0,0.0,0.23592,0.39707,0.13119,0.13384,0.0,0.0,0.0,0.0,0.16437,0.27078,0.08988,0.09369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45898,0.68816,0.23808,0.25996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  Lychee (Fl),0.03611,0.08362,0.08381,0.20428,0.0,0.0,0.0,0.0,0.05596,0.13045,0.13119,0.31389,0.0,0.0,0.0,0.0,0.03899,0.08896,0.08988,0.21972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10887,0.22608,0.23808,0.60967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Paulaner Spezi (Br),,,0.08754,,,,0.32211,,,,,,,,,,,,0.09388,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76457,
  Cola (Fl),0.0,0.0,0.08754,0.0,0.0,0.0,0.32211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76457,0.0
