,Total,PROVINCE1,PROVINCE2,PROVINCE3,CONVENIENCE,GROCERY,ON PREMISES,DISTRICT1,DISTRICT2,DISTRICT3,DISTRICT4,DISTRICT5
   Dr Pepper (Ve),229.4632,143.11775,86.34545,0.0,21.82889,199.93684,7.69747,13.39115,115.30368,95.57301,3.43049,1.76487
  Chupa Chups Orange (Br),2.22851,2.22851,0.0,0.0,0.0,2.22851,0.0,0.0,2.22851,0.0,0.0,0.0
   Gihauser (Ve),2.22851,2.22851,0.0,0.0,0.0,2.22851,0.0,0.0,2.22851,0.0,0.0,0.0
  Crush Orange Soda (Br),4.28509,4.28509,0.0,0.0,0.0,4.28509,0.0,4.28509,0.0,0.0,0.0,0.0
   Gihauser (Ve),4.28509,4.28509,0.0,0.0,0.0,4.28509,0.0,4.28509,0.0,0.0,0.0,0.0
  Crush Strawberry Soda (Br),277.65249,274.93781,2.04267,0.67201,27.01903,210.75706,39.8764,69.68805,168.14814,11.57893,22.73301,5.50436
   Dr Pepper (Ve),277.65249,274.93781,2.04267,0.67201,27.01903,210.75706,39.8764,69.68805,168.14814,11.57893,22.73301,5.50436
  Diet Coke (Br),24.11028,20.1532,3.95708,0.0,2.73585,18.45539,2.91904,3.12585,2.71112,18.27331,0.0,0.0
   Munaken (Ve),24.11028,20.1532,3.95708,0.0,2.73585,18.45539,2.91904,3.12585,2.71112,18.27331,0.0,0.0
  Dr Pepper Diet (Br),6.22302,6.22302,0.0,0.0,6.22302,0.0,0.0,0.0,6.22302,0.0,0.0,0.0
   Munaken (Ve),6.22302,6.22302,0.0,0.0,6.22302,0.0,0.0,0.0,6.22302,0.0,0.0,0.0
  Orangina (Br),120.75542,120.75542,0.0,0.0,0.0,120.75542,0.0,0.0,120.75542,0.0,0.0,0.0
   Hiego (Ve),120.75542,120.75542,0.0,0.0,0.0,120.75542,0.0,0.0,120.75542,0.0,0.0,0.0
 2.25 Lt (Si),974.25474,974.25474,0.0,0.0,284.62987,670.58598,19.03889,649.27196,94.0442,11.42125,19.03889,200.47844
  Afri Cola (Br),288.64732,288.64732,0.0,0.0,150.82438,137.82294,0.0,220.91717,7.45472,4.68426,0.0,55.59117
    Africola (Ve),288.64732,288.64732,0.0,0.0,150.82438,137.82294,0.0,220.91717,7.45472,4.68426,0.0,55.59117
  Almdudler (Br),78.11222,78.11222,0.0,0.0,56.4493,21.66292,0.0,68.07214,0.0,0.0,0.0,10.04008
    Africola (Ve),78.11222,78.11222,0.0,0.0,56.4493,21.66292,0.0,68.07214,0.0,0.0,0.0,10.04008
  Anw Cream Soda (Br),226.47755,226.47755,0.0,0.0,6.58511,213.40631,6.48613,141.0095,15.43261,0.0,6.48613,63.54931
   Dr Pepper (Ve),226.47755,226.47755,0.0,0.0,6.58511,213.40631,6.48613,141.0095,15.43261,0.0,6.48613,63.54931
  Barq Root Malt (Br),112.24823,112.24823,0.0,0.0,1.24232,111.00591,0.0,32.75834,45.11602,0.0,0.0,34.37387
   Gihauser (Ve),112.24823,112.24823,0.0,0.0,1.24232,111.00591,0.0,32.75834,45.11602,0.0,0.0,34.37387
  Big Peach Soda (Br),81.71813,81.71813,0.0,0.0,17.18345,64.53468,0.0,35.95926,8.54471,6.73699,0.0,30.47717
    Africola (Ve),81.71813,81.71813,0.0,0.0,17.18345,64.53468,0.0,35.95926,8.54471,6.73699,0.0,30.47717
  Big Red Soda (Br),36.4632,36.4632,0.0,0.0,6.44684,30.01636,0.0,17.46278,12.55358,0.0,0.0,6.44684
   Gihauser (Ve),36.4632,36.4632,0.0,0.0,6.44684,30.01636,0.0,17.46278,12.55358,0.0,0.0,6.44684
  Bluna Orange (Br),25.43102,25.43102,0.0,0.0,15.92974,3.52196,5.97932,19.4517,0.0,0.0,5.97932,0.0
   Dr Pepper (Ve),25.43102,25.43102,0.0,0.0,15.92974,3.52196,5.97932,19.4517,0.0,0.0,5.97932,0.0
  Chupa Chups Grape (Br),13.8456,13.8456,0.0,0.0,5.71978,5.67677,2.44905,9.44673,1.94982,0.0,2.44905,0.0
   Dr Pepper (Ve),13.8456,13.8456,0.0,0.0,5.71978,5.67677,2.44905,9.44673,1.94982,0.0,2.44905,0.0
  Crush Orange Soda (Br),22.81579,22.81579,0.0,0.0,0.0,22.81579,0.0,19.82305,2.99274,0.0,0.0,0.0
   Gihauser (Ve),22.81579,22.81579,0.0,0.0,0.0,22.81579,0.0,19.82305,2.99274,0.0,0.0,0.0
  Crush Strawberry Soda (Br),88.49568,88.49568,0.0,0.0,24.24895,60.12234,4.12439,84.37129,0.0,0.0,4.12439,0.0
   Dr Pepper (Ve),88.49568,88.49568,0.0,0.0,24.24895,60.12234,4.12439,84.37129,0.0,0.0,4.12439,0.0
 250 Ml (Si),293.4943,279.42124,14.07306,0.0,76.14728,189.97935,27.36767,159.04303,80.57538,27.82909,14.23304,11.81376
  Afri Cola (Br),38.04594,34.55242,3.49352,0.0,12.18173,22.40456,3.45965,15.87109,12.46753,4.41066,1.75668,3.53998
    Africola (Ve),38.04594,34.55242,3.49352,0.0,12.18173,22.40456,3.45965,15.87109,12.46753,4.41066,1.75668,3.53998
  Almdudler (Br),13.1284,12.18356,0.94484,0.0,4.32125,7.60505,1.2021,4.66088,3.21601,2.25595,0.0,2.99556
    Africola (Ve),13.1284,12.18356,0.94484,0.0,4.32125,7.60505,1.2021,4.66088,3.21601,2.25595,0.0,2.99556
  Anw Cream Soda (Br),44.05368,44.05368,0.0,0.0,28.25793,7.52431,8.27144,24.40832,13.28525,3.21058,2.86667,0.28286
   Dr Pepper (Ve),44.05368,44.05368,0.0,0.0,28.25793,7.52431,8.27144,24.40832,13.28525,3.21058,2.86667,0.28286
  Big Peach Soda (Br),52.33142,49.01955,3.31187,0.0,7.97903,40.11547,4.23692,26.60839,15.7238,6.65809,1.95501,1.38613
    Africola (Ve),52.33142,49.01955,3.31187,0.0,7.97903,40.11547,4.23692,26.60839,15.7238,6.65809,1.95501,1.38613
  Bluna Orange (Br),27.5433,26.779,0.7643,0.0,9.72934,13.80981,4.00415,8.4123,7.52489,2.51625,5.50423,3.58563
   Dr Pepper (Ve),27.5433,26.779,0.7643,0.0,9.72934,13.80981,4.00415,8.4123,7.52489,2.51625,5.50423,3.58563
  Chupa Chups Grape (Br),27.38946,21.83093,5.55853,0.0,11.6527,12.3841,3.35266,6.87191,13.07551,6.41019,1.00825,0.0236
   Dr Pepper (Ve),27.38946,21.83093,5.55853,0.0,11.6527,12.3841,3.35266,6.87191,13.07551,6.41019,1.00825,0.0236
  Crush Strawberry Soda (Br),89.08038,89.08038,0.0,0.0,1.58064,85.82213,1.67761,72.21014,14.83773,0.89031,1.1422,0.0
   Dr Pepper (Ve),89.08038,89.08038,0.0,0.0,1.58064,85.82213,1.67761,72.21014,14.83773,0.89031,1.1422,0.0
  Dr Pepper Cherry (Br),1.92172,1.92172,0.0,0.0,0.44466,0.31392,1.16314,0.0,0.44466,1.47706,0.0,0.0
   Dr Pepper (Ve),1.92172,1.92172,0.0,0.0,0.44466,0.31392,1.16314,0.0,0.44466,1.47706,0.0,0.0
 300 Ml (Si),9.72854,9.21721,0.51133,0.0,4.61638,3.01964,2.09252,0.0,5.0143,3.39327,0.0,1.32097
  Barq Root Malt (Br),2.05039,2.05039,0.0,0.0,0.0,0.32915,1.72124,0.0,0.0,1.72124,0.0,0.32915
   Gihauser (Ve),2.05039,2.05039,0.0,0.0,0.0,0.32915,1.72124,0.0,0.0,1.72124,0.0,0.32915
  Big Red Soda (Br),0.37128,0.37128,0.0,0.0,0.0,0.0,0.37128,0.0,0.0,0.37128,0.0,0.0
   Gihauser (Ve),0.37128,0.37128,0.0,0.0,0.0,0.0,0.37128,0.0,0.0,0.37128,0.0,0.0
  Chupa Chups Grape (Br),0.15287,0.15287,0.0,0.0,0.0,0.15287,0.0,0.0,0.0,0.15287,0.0,0.0
   Dr Pepper (Ve),0.15287,0.15287,0.0,0.0,0.0,0.15287,0.0,0.0,0.0,0.15287,0.0,0.0
  Chupa Chups Orange (Br),0.99182,0.99182,0.0,0.0,0.0,0.99182,0.0,0.0,0.0,0.0,0.0,0.99182
   Gihauser (Ve),0.99182,0.99182,0.0,0.0,0.0,0.99182,0.0,0.0,0.0,0.0,0.0,0.99182
  Diet Coke (Br),1.12448,0.61315,0.51133,0.0,0.0,1.12448,0.0,0.0,0.0,1.12448,0.0,0.0
   Munaken (Ve),1.12448,0.61315,0.51133,0.0,0.0,1.12448,0.0,0.0,0.0,1.12448,0.0,0.0
  Dr Pepper Cherry (Br),0.0234,0.0234,0.0,0.0,0.0,0.0234,0.0,0.0,0.0,0.0234,0.0,0.0
   Dr Pepper (Ve),0.0234,0.0234,0.0,0.0,0.0,0.0234,0.0,0.0,0.0,0.0234,0.0,0.0
  Dr Pepper Diet (Br),0.39792,0.39792,0.0,0.0,0.0,0.39792,0.0,0.0,0.39792,0.0,0.0,0.0
   Munaken (Ve),0.39792,0.39792,0.0,0.0,0.0,0.39792,0.0,0.0,0.39792,0.0,0.0,0.0
  Faxe Kondi (Br),4.61638,4.61638,0.0,0.0,4.61638,0.0,0.0,0.0,4.61638,0.0,0.0,0.0
   Sigma Industry (Ve),4.61638,4.61638,0.0,0.0,4.61638,0.0,0.0,0.0,4.61638,0.0,0.0,0.0
 345 Ml (Si),55.12162,55.12162,0.0,0.0,9.73121,43.93608,1.45433,25.77274,26.88658,0.0,1.45433,1.00797
  Anw Cream Soda (Br),8.29041,8.29041,0.0,0.0,2.36796,5.92245,0.0,3.52881,4.7616,0.0,0.0,0.0
   Dr Pepper (Ve),8.29041,8.29041,0.0,0.0,2.36796,5.92245,0.0,3.52881,4.7616,0.0,0.0,0.0
  Bluna Orange (Br),4.77186,4.77186,0.0,0.0,0.91707,3.85479,0.0,0.23518,4.53668,0.0,0.0,0.0
   Dr Pepper (Ve),4.77186,4.77186,0.0,0.0,0.91707,3.85479,0.0,0.23518,4.53668,0.0,0.0,0.0
  Chupa Chups Grape (Br),26.07281,26.07281,0.0,0.0,0.58733,25.48548,0.0,21.28013,3.78471,0.0,0.0,1.00797
   Dr Pepper (Ve),26.07281,26.07281,0.0,0.0,0.58733,25.48548,0.0,21.28013,3.78471,0.0,0.0,1.00797
  Crush Strawberry Soda (Br),12.89071,12.89071,0.0,0.0,4.38516,8.50555,0.0,0.56081,12.3299,0.0,0.0,0.0
   Dr Pepper (Ve),12.89071,12.89071,0.0,0.0,4.38516,8.50555,0.0,0.56081,12.3299,0.0,0.0,0.0
  Dr Pepper Cherry (Br),1.6415,1.6415,0.0,0.0,1.47369,0.16781,0.0,0.16781,1.47369,0.0,0.0,0.0
   Dr Pepper (Ve),1.6415,1.6415,0.0,0.0,1.47369,0.16781,0.0,0.16781,1.47369,0.0,0.0,0.0
  Fanta Apple (Br),0.25675,0.25675,0.0,0.0,0.0,0.0,0.25675,0.0,0.0,0.0,0.25675,0.0
   Mechou (Ve),0.25675,0.25675,0.0,0.0,0.0,0.0,0.25675,0.0,0.0,0.0,0.25675,0.0
  Gazoz Soda (Br),1.19758,1.19758,0.0,0.0,0.0,0.0,1.19758,0.0,0.0,0.0,1.19758,0.0
   Mechou (Ve),1.19758,1.19758,0.0,0.0,0.0,0.0,1.19758,0.0,0.0,0.0,1.19758,0.0
 500 Ml (Si),274.85324,231.41587,43.43737,0.0,80.25127,165.52739,29.07458,122.38349,72.12847,75.4125,0.3689,4.55988
  Afri Cola (Br),94.65904,64.75719,29.90185,0.0,6.47368,76.80553,11.37983,31.71679,24.01774,38.06348,0.3689,0.49213
    Africola (Ve),94.65904,64.75719,29.90185,0.0,6.47368,76.80553,11.37983,31.71679,24.01774,38.06348,0.3689,0.49213
  Almdudler (Br),9.61615,7.3939,2.22225,0.0,1.85597,7.50374,0.25644,1.95625,0.0,7.6599,0.0,0.0
    Africola (Ve),9.61615,7.3939,2.22225,0.0,1.85597,7.50374,0.25644,1.95625,0.0,7.6599,0.0,0.0
  Anw Cream Soda (Br),24.68134,23.37301,1.30833,0.0,7.21236,11.1548,6.31418,16.5165,5.0039,3.16094,0.0,0.0
   Dr Pepper (Ve),24.68134,23.37301,1.30833,0.0,7.21236,11.1548,6.31418,16.5165,5.0039,3.16094,0.0,0.0
  Barq Root Malt (Br),2.35715,2.35715,0.0,0.0,0.0,2.35715,0.0,0.0,2.35715,0.0,0.0,0.0
   Gihauser (Ve),2.35715,2.35715,0.0,0.0,0.0,2.35715,0.0,0.0,2.35715,0.0,0.0,0.0
  Big Peach Soda (Br),47.365,44.90477,2.46023,0.0,20.82544,22.90472,3.63484,36.79812,6.46054,3.53567,0.0,0.57067
    Africola (Ve),47.365,44.90477,2.46023,0.0,20.82544,22.90472,3.63484,36.79812,6.46054,3.53567,0.0,0.57067
  Big Red Soda (Br),1.85857,1.85857,0.0,0.0,0.0,1.85857,0.0,0.0,1.85857,0.0,0.0,0.0
   Gihauser (Ve),1.85857,1.85857,0.0,0.0,0.0,1.85857,0.0,0.0,1.85857,0.0,0.0,0.0
  Bluna Orange (Br),20.23698,19.60082,0.63616,0.0,9.60415,9.79428,0.83855,8.27471,6.58869,5.37358,0.0,0.0
   Dr Pepper (Ve),20.23698,19.60082,0.63616,0.0,9.60415,9.79428,0.83855,8.27471,6.58869,5.37358,0.0,0.0
  Chupa Chups Grape (Br),20.11496,13.44675,6.66821,0.0,2.05085,16.93497,1.12914,6.07052,3.33293,10.71151,0.0,0.0
   Dr Pepper (Ve),20.11496,13.44675,6.66821,0.0,2.05085,16.93497,1.12914,6.07052,3.33293,10.71151,0.0,0.0
  Crush Strawberry Soda (Br),17.48952,17.48952,0.0,0.0,7.87616,5.02292,4.59044,4.56915,8.75087,4.1695,0.0,0.0
   Dr Pepper (Ve),17.48952,17.48952,0.0,0.0,7.87616,5.02292,4.59044,4.56915,8.75087,4.1695,0.0,0.0
  Diet Coke (Br),10.87834,10.638,0.24034,0.0,4.82549,5.12169,0.93116,1.5604,4.78495,2.73792,0.0,1.79507
   Munaken (Ve),10.87834,10.638,0.24034,0.0,4.82549,5.12169,0.93116,1.5604,4.78495,2.73792,0.0,1.79507
  Dr Pepper Cherry (Br),18.59194,18.59194,0.0,0.0,16.50642,2.08552,0.0,13.91053,4.68141,0.0,0.0,0.0
   Dr Pepper (Ve),18.59194,18.59194,0.0,0.0,16.50642,2.08552,0.0,13.91053,4.68141,0.0,0.0,0.0
  Dr Pepper Diet (Br),5.76608,5.76608,0.0,0.0,2.86471,2.90137,0.0,0.18005,3.88402,0.0,0.0,1.70201
   Munaken (Ve),5.76608,5.76608,0.0,0.0,2.86471,2.90137,0.0,0.18005,3.88402,0.0,0.0,1.70201
  Dr Pepper Original (Br),0.67443,0.67443,0.0,0.0,0.0,0.67443,0.0,0.67443,0.0,0.0,0.0,0.0
   Dr Pepper (Ve),0.67443,0.67443,0.0,0.0,0.0,0.67443,0.0,0.67443,0.0,0.0,0.0,0.0
  Fanta Apple (Br),0.4077,0.4077,0.0,0.0,0.0,0.4077,0.0,0.0,0.4077,0.0,0.0,0.0
   Mechou (Ve),0.4077,0.4077,0.0,0.0,0.0,0.4077,0.0,0.0,0.4077,0.0,0.0,0.0
  Fanta Berry (Br),0.15604,0.15604,0.0,0.0,0.15604,0.0,0.0,0.15604,0.0,0.0,0.0,0.0
    Africola (Ve),0.15604,0.15604,0.0,0.0,0.15604,0.0,0.0,0.15604,0.0,0.0,0.0,0.0
