,Total,PROVINCE1,PROVINCE2,PROVINCE3,CONVENIENCE,GROCERY,ON PREMISES,DISTRICT1,DISTRICT2,DISTRICT3,DISTRICT4,DISTRICT5
  Almdudler (Br),3.60592,3.51549,4.94569,,3.70246,3.57618,3.54265,2.82951,2.18251,6.7104,,9.42721
    Africola (Ve),3.60592,3.51549,4.94569,0.0,3.70246,3.57618,3.54265,2.82951,2.18251,6.7104,0.0,9.42721
  Anw Cream Soda (Br),6.92824,6.8773,5.64989,52.08214,6.64437,7.19307,5.89856,6.27952,7.5253,10.07155,6.11992,3.57139
   Dr Pepper (Ve),6.92824,6.8773,5.64989,52.08214,6.64437,7.19307,5.89856,6.27952,7.5253,10.07155,6.11992,3.57139
  Barq Root Malt (Br),0.52477,0.56657,,,0.15887,0.53008,1.50099,0.45501,0.24866,1.0701,,1.30554
   Gihauser (Ve),0.52477,0.56657,0.0,0.0,0.15887,0.53008,1.50099,0.45501,0.24866,1.0701,0.0,1.30554
  Big Peach Soda (Br),6.34634,5.96959,11.55388,,5.81153,6.54616,6.45676,4.32667,5.38483,10.34926,7.81825,11.61336
    Africola (Ve),6.34634,5.96959,11.55388,0.0,5.81153,6.54616,6.45676,4.32667,5.38483,10.34926,7.81825,11.61336
  Big Red Soda (Br),0.93757,1.01225,,,0.75823,0.75773,2.66658,0.22133,0.7884,1.90109,,3.57139
   Gihauser (Ve),0.93757,1.01225,0.0,0.0,0.75823,0.75773,2.66658,0.22133,0.7884,1.90109,0.0,3.57139
  Bluna Orange (Br),4.84389,4.60449,6.12328,47.91786,5.41573,4.81233,3.47775,3.10662,7.2802,5.33237,5.07646,2.64594
   Dr Pepper (Ve),4.84389,4.60449,6.12328,47.91786,5.41573,4.81233,3.47775,3.10662,7.2802,5.33237,5.07646,2.64594
  Chupa Chups Grape (Br),4.90824,4.45065,11.11253,,4.15384,4.69558,8.45358,1.72386,6.77069,10.76078,8.26111,1.47328
   Dr Pepper (Ve),4.90824,4.45065,11.11253,0.0,4.15384,4.69558,8.45358,1.72386,6.77069,10.76078,8.26111,1.47328
  Chupa Chups Orange (Br),0.13979,0.15092,,,,0.21662,,,0.42142,,,
   Gihauser (Ve),0.13979,0.15092,0.0,0.0,0.0,0.21662,0.0,0.0,0.42142,0.0,0.0,0.0
  Crush Orange Soda (Br),0.08615,0.09301,,,,0.1335,,0.22133,,,,
   Gihauser (Ve),0.08615,0.09301,0.0,0.0,0.0,0.1335,0.0,0.22133,0.0,0.0,0.0,0.0
  Crush Strawberry Soda (Br),6.43317,6.49779,3.61991,52.08214,5.74265,7.09298,3.82146,6.13496,8.31151,6.58534,0.69286,4.03138
   Dr Pepper (Ve),6.43317,6.49779,3.61991,52.08214,5.74265,7.09298,3.82146,6.13496,8.31151,6.58534,0.69286,4.03138
  Diet Coke (Br),1.22972,1.23861,1.16621,,2.15415,0.93898,0.66433,1.1525,1.54423,2.03622,,
   Munaken (Ve),1.22972,1.23861,1.16621,0.0,2.15415,0.93898,0.66433,1.1525,1.54423,2.03622,0.0,0.0
  Dr Pepper Diet (Br),0.28819,0.31114,,,1.10615,,,,0.86883,,,
   Munaken (Ve),0.28819,0.31114,0.0,0.0,1.10615,0.0,0.0,0.0,0.86883,0.0,0.0,0.0
  Orangina (Br),0.15224,0.16437,,,,0.23592,,,0.45898,,,
   Hiego (Ve),0.15224,0.16437,0.0,0.0,0.0,0.23592,0.0,0.0,0.45898,0.0,0.0,0.0
 2.25 Lt (Si),7.02678,7.58644,,,6.44087,7.86334,2.91411,9.50375,4.9434,1.49591,5.26392,12.81499
  Afri Cola (Br),3.27058,3.53107,,,3.21664,3.76951,,5.08784,0.71063,1.49591,,9.03157
    Africola (Ve),3.27058,3.53107,0.0,0.0,3.21664,3.76951,0.0,5.08784,0.71063,1.49591,0.0,9.03157
  Almdudler (Br),0.95523,1.03131,,,2.14844,0.61285,,1.64996,,,,3.29884
    Africola (Ve),0.95523,1.03131,0.0,0.0,2.14844,0.61285,0.0,1.64996,0.0,0.0,0.0,3.29884
  Anw Cream Soda (Br),1.48648,1.60488,,,0.78209,1.89081,0.66433,2.76173,0.75686,,1.20001,1.03194
   Dr Pepper (Ve),1.48648,1.60488,0.0,0.0,0.78209,1.89081,0.66433,2.76173,0.75686,0.0,1.20001,1.03194
  Barq Root Malt (Br),1.36533,1.47408,,,0.24006,2.01884,,0.31824,2.9586,,,2.7412
   Gihauser (Ve),1.36533,1.47408,0.0,0.0,0.24006,2.01884,0.0,0.31824,2.9586,0.0,0.0,2.7412
  Big Peach Soda (Br),1.87253,2.02167,,,2.84043,1.75495,,2.63105,0.93094,1.0701,,4.198
    Africola (Ve),1.87253,2.02167,0.0,0.0,2.84043,1.75495,0.0,2.63105,0.93094,1.0701,0.0,4.198
  Big Red Soda (Br),1.47331,1.59065,,,0.1733,2.21311,,1.01503,3.11444,,,0.47588
   Gihauser (Ve),1.47331,1.59065,0.0,0.0,0.1733,2.21311,0.0,1.01503,3.11444,0.0,0.0,0.47588
  Bluna Orange (Br),0.63536,0.68597,,,1.54795,0.30612,0.36667,1.54363,,,0.66234,
   Dr Pepper (Ve),0.63536,0.68597,0.0,0.0,1.54795,0.30612,0.36667,1.54363,0.0,0.0,0.66234,0.0
  Chupa Chups Grape (Br),0.90929,0.98172,,,0.75823,1.00602,0.66433,1.21237,1.13007,,1.20001,
   Dr Pepper (Ve),0.90929,0.98172,0.0,0.0,0.75823,1.00602,0.66433,1.21237,1.13007,0.0,1.20001,0.0
  Crush Orange Soda (Br),0.28936,0.3124,,,,0.44839,,0.38426,0.42142,,,
   Gihauser (Ve),0.28936,0.3124,0.0,0.0,0.0,0.44839,0.0,0.38426,0.42142,0.0,0.0,0.0
  Crush Strawberry Soda (Br),1.32406,1.42952,,,1.73908,0.92452,2.91411,2.69681,,,5.26392,
   Dr Pepper (Ve),1.32406,1.42952,0.0,0.0,1.73908,0.92452,2.91411,2.69681,0.0,0.0,5.26392,0.0
 250 Ml (Si),12.4886,12.21899,16.55767,,13.63407,11.83388,13.80642,12.48182,12.6006,11.8935,12.77298,12.79693
  Afri Cola (Br),7.0307,6.91533,8.8445,,7.35835,7.27534,4.44715,6.76526,7.02395,6.8999,4.45218,9.74169
    Africola (Ve),7.0307,6.91533,8.8445,0.0,7.35835,7.27534,4.44715,6.76526,7.02395,6.8999,4.45218,9.74169
  Almdudler (Br),2.3936,2.09506,6.40645,,3.40097,1.97651,2.46473,2.54233,0.76157,5.39676,,4.62401
    Africola (Ve),2.3936,2.09506,6.40645,0.0,3.40097,1.97651,2.46473,2.54233,0.76157,5.39676,0.0,4.62401
  Anw Cream Soda (Br),4.24809,4.58644,,,5.1236,3.04358,10.08132,4.64258,3.82788,2.69773,7.88483,4.2588
   Dr Pepper (Ve),4.24809,4.58644,0.0,0.0,5.1236,3.04358,10.08132,4.64258,3.82788,2.69773,7.88483,4.2588
  Big Peach Soda (Br),5.62056,5.59455,6.20343,,6.4616,5.27235,5.67987,5.36476,7.67111,5.17651,0.69286,2.82626
    Africola (Ve),5.62056,5.59455,6.20343,0.0,6.4616,5.27235,5.67987,5.36476,7.67111,5.17651,0.69286,2.82626
  Bluna Orange (Br),4.61608,4.53029,5.93852,,5.90524,3.79346,6.68709,5.67041,3.70692,5.11359,4.29196,2.95481
   Dr Pepper (Ve),4.61608,4.53029,5.93852,0.0,5.90524,3.79346,6.68709,5.67041,3.70692,5.11359,4.29196,2.95481
  Chupa Chups Grape (Br),4.15548,3.80902,8.87189,,3.9746,3.6868,7.86853,2.82149,4.51951,7.46092,7.94593,1.67271
   Dr Pepper (Ve),4.15548,3.80902,8.87189,0.0,3.9746,3.6868,7.86853,2.82149,4.51951,7.46092,7.94593,1.67271
  Crush Strawberry Soda (Br),2.28029,2.46191,,,2.60698,1.49037,6.79063,2.60496,1.8999,2.60006,5.61754,
   Dr Pepper (Ve),2.28029,2.46191,0.0,0.0,2.60698,1.49037,6.79063,2.60496,1.8999,2.60006,5.61754,0.0
  Dr Pepper Cherry (Br),0.34331,0.37066,,,0.9636,0.0535,0.61331,,0.75686,0.69866,,
   Dr Pepper (Ve),0.34331,0.37066,0.0,0.0,0.9636,0.0535,0.61331,0.0,0.75686,0.69866,0.0,0.0
 300 Ml (Si),1.1275,1.12429,1.2181,,0.9636,1.04507,2.14601,,1.51372,4.08341,,0.90797
  Barq Root Malt (Br),0.24343,0.26282,,,,0.06414,2.14601,,,1.52996,,0.43625
   Gihauser (Ve),0.24343,0.26282,0.0,0.0,0.0,0.06414,2.14601,0.0,0.0,1.52996,0.0,0.43625
  Big Red Soda (Br),0.14957,0.16148,,,,,1.58866,,,1.13261,,
   Gihauser (Ve),0.14957,0.16148,0.0,0.0,0.0,0.0,1.58866,0.0,0.0,1.13261,0.0,0.0
  Chupa Chups Grape (Br),0.04515,0.04875,,,,0.06997,,,,0.34191,,
   Dr Pepper (Ve),0.04515,0.04875,0.0,0.0,0.0,0.06997,0.0,0.0,0.0,0.34191,0.0,0.0
  Chupa Chups Orange (Br),0.08615,0.09301,,,,0.1335,,,,,,0.90797
   Gihauser (Ve),0.08615,0.09301,0.0,0.0,0.0,0.1335,0.0,0.0,0.0,0.0,0.0,0.90797
  Diet Coke (Br),0.22746,0.15257,1.2181,,,0.35249,,,,1.72247,,
   Munaken (Ve),0.22746,0.15257,1.2181,0.0,0.0,0.35249,0.0,0.0,0.0,1.72247,0.0,0.0
  Dr Pepper Cherry (Br),0.25105,0.27105,,,,0.38904,,,,1.90109,,
   Dr Pepper (Ve),0.25105,0.27105,0.0,0.0,0.0,0.38904,0.0,0.0,0.0,1.90109,0.0,0.0
  Dr Pepper Diet (Br),0.25105,0.27105,,,,0.38904,,,0.75686,,,
   Munaken (Ve),0.25105,0.27105,0.0,0.0,0.0,0.38904,0.0,0.0,0.75686,0.0,0.0,0.0
  Faxe Kondi (Br),0.25105,0.27105,,,0.9636,,,,0.75686,,,
   Sigma Industry (Ve),0.25105,0.27105,0.0,0.0,0.9636,0.0,0.0,0.0,0.75686,0.0,0.0,0.0
 345 Ml (Si),2.10406,2.27165,,,0.71876,2.58129,2.66658,1.29454,3.97893,,4.81678,0.30887
  Anw Cream Soda (Br),1.31356,1.41818,,,0.1733,1.96556,,0.81549,3.00311,,,
   Dr Pepper (Ve),1.31356,1.41818,0.0,0.0,0.1733,1.96556,0.0,0.81549,3.00311,0.0,0.0,0.0
  Bluna Orange (Br),0.53301,0.57546,,,0.53654,0.60935,,0.09278,1.49802,,,
   Dr Pepper (Ve),0.53301,0.57546,0.0,0.0,0.53654,0.60935,0.0,0.09278,1.49802,0.0,0.0,0.0
  Chupa Chups Grape (Br),1.11158,1.20011,,,0.55988,1.49649,,0.5854,2.57584,,,0.30887
   Dr Pepper (Ve),1.11158,1.20011,0.0,0.0,0.55988,1.49649,0.0,0.5854,2.57584,0.0,0.0,0.30887
  Crush Strawberry Soda (Br),0.44356,0.47889,,,0.31658,0.55954,,0.08869,1.23316,,,
   Dr Pepper (Ve),0.44356,0.47889,0.0,0.0,0.31658,0.55954,0.0,0.08869,1.23316,0.0,0.0,0.0
  Dr Pepper Cherry (Br),0.12754,0.1377,,,0.15887,0.1335,,0.22133,0.12479,,,
   Dr Pepper (Ve),0.12754,0.1377,0.0,0.0,0.15887,0.1335,0.0,0.22133,0.12479,0.0,0.0,0.0
  Fanta Apple (Br),0.25105,0.27105,,,,,2.66658,,,,4.81678,
   Mechou (Ve),0.25105,0.27105,0.0,0.0,0.0,0.0,2.66658,0.0,0.0,0.0,4.81678,0.0
  Gazoz Soda (Br),0.14602,0.15765,,,,,1.55097,,,,2.8016,
   Mechou (Ve),0.14602,0.15765,0.0,0.0,0.0,0.0,1.55097,0.0,0.0,0.0,2.8016,0.0
 500 Ml (Si),10.11719,10.30287,8.12138,,12.29412,9.64821,7.30753,12.35284,9.17032,12.55756,3.79018,4.33501
  Afri Cola (Br),4.97751,5.24592,1.67681,,5.2352,4.76115,5.74746,6.9037,4.20299,4.22035,3.79018,1.48938
    Africola (Ve),4.97751,5.24592,1.67681,0.0,5.2352,4.76115,5.74746,6.9037,4.20299,4.22035,3.79018,1.48938
  Almdudler (Br),1.05653,0.97632,2.15263,,0.64902,1.06908,2.09825,0.52311,,6.45872,,
    Africola (Ve),1.05653,0.97632,2.15263,0.0,0.64902,1.06908,2.09825,0.52311,0.0,6.45872,0.0,0.0
  Anw Cream Soda (Br),3.54343,3.52945,3.87923,,3.99541,2.98046,6.15146,4.61529,1.84877,8.58525,,
   Dr Pepper (Ve),3.54343,3.52945,3.87923,0.0,3.99541,2.98046,6.15146,4.61529,1.84877,8.58525,0.0,0.0
  Barq Root Malt (Br),0.30879,0.33339,,,,0.47851,,,0.93094,,,
   Gihauser (Ve),0.30879,0.33339,0.0,0.0,0.0,0.47851,0.0,0.0,0.93094,0.0,0.0,0.0
  Big Peach Soda (Br),3.37605,3.42041,2.94049,,6.33313,2.4581,1.48477,5.69394,1.43784,3.26949,,2.64594
    Africola (Ve),3.37605,3.42041,2.94049,0.0,6.33313,2.4581,1.48477,5.69394,1.43784,3.26949,0.0,2.64594
  Big Red Soda (Br),0.3958,0.42733,,,,0.61335,,,1.19325,,,
   Gihauser (Ve),0.3958,0.42733,0.0,0.0,0.0,0.61335,0.0,0.0,1.19325,0.0,0.0,0.0
  Bluna Orange (Br),2.22357,2.12962,3.54971,,3.64725,1.50825,3.18675,1.77603,2.08411,6.36818,,
   Dr Pepper (Ve),2.22357,2.12962,3.54971,0.0,3.64725,1.50825,3.18675,1.77603,2.08411,6.36818,0.0,0.0
  Chupa Chups Grape (Br),2.54079,2.35367,5.10079,,1.69571,2.73012,3.58163,2.76839,1.77844,6.61312,,
   Dr Pepper (Ve),2.54079,2.35367,5.10079,0.0,1.69571,2.73012,3.58163,2.76839,1.77844,6.61312,0.0,0.0
  Crush Strawberry Soda (Br),0.83967,0.90654,,,1.66133,0.44666,1.25964,1.16378,0.58008,1.47107,,
   Dr Pepper (Ve),0.83967,0.90654,0.0,0.0,1.66133,0.44666,1.25964,1.16378,0.58008,1.47107,0.0,0.0
  Diet Coke (Br),1.41868,1.36032,2.24406,,2.60851,0.83219,2.14601,0.71942,1.38583,4.4891,,0.90797
   Munaken (Ve),1.41868,1.36032,2.24406,0.0,2.60851,0.83219,2.14601,0.71942,1.38583,4.4891,0.0,0.90797
  Dr Pepper Cherry (Br),0.84737,0.91487,,,2.75654,0.2002,,0.74226,1.68361,,,
   Dr Pepper (Ve),0.84737,0.91487,0.0,0.0,2.75654,0.2002,0.0,0.74226,1.68361,0.0,0.0,0.0
  Dr Pepper Diet (Br),0.67235,0.7259,,,1.2073,0.55447,,0.2119,1.29517,,,1.68907
   Munaken (Ve),0.67235,0.7259,0.0,0.0,1.2073,0.55447,0.0,0.2119,1.29517,0.0,0.0,1.68907
  Dr Pepper Original (Br),0.19754,0.21328,,,,0.30612,,0.50752,,,,
   Dr Pepper (Ve),0.19754,0.21328,0.0,0.0,0.0,0.30612,0.0,0.50752,0.0,0.0,0.0,0.0
  Fanta Apple (Br),0.25105,0.27105,,,,0.38904,,,0.75686,,,
   Mechou (Ve),0.25105,0.27105,0.0,0.0,0.0,0.38904,0.0,0.0,0.75686,0.0,0.0,0.0
  Fanta Berry (Br),0.14131,0.15257,,,0.5424,,,0.36305,,,,
    Africola (Ve),0.14131,0.15257,0.0,0.0,0.5424,0.0,0.0,0.36305,0.0,0.0,0.0,0.0
