,Total,PROVINCE1,PROVINCE2,PROVINCE3,CONVENIENCE,GROCERY,ON PREMISES,DISTRICT1,DISTRICT2,DISTRICT3,DISTRICT4,DISTRICT5
    Africola (Ve),9.64098,10.5666,0.0,0.0,15.41351,8.7259,0.0,13.42302,5.10912,4.96916,0.0,19.17823
  Big Red Soda (Br),7.58554,8.3138,,,0.94041,11.00394,,5.17845,17.09244,,,2.17402
   Gihauser (Ve),7.58554,8.3138,0.0,0.0,0.94041,11.00394,0.0,5.17845,17.09244,0.0,0.0,2.17402
  Bluna Orange (Br),3.27124,3.58534,,,8.39991,1.52208,2.10132,7.87525,,,4.16719,
   Dr Pepper (Ve),3.27124,3.58534,0.0,0.0,8.39991,1.52208,2.10132,7.87525,0.0,0.0,4.16719,0.0
  Chupa Chups Grape (Br),4.6816,5.13113,,,4.11451,5.0021,3.80716,6.18524,6.20197,,7.55,
   Dr Pepper (Ve),4.6816,5.13113,0.0,0.0,4.11451,5.0021,3.80716,6.18524,6.20197,0.0,7.55,0.0
  Crush Orange Soda (Br),1.48981,1.63281,,,,2.22947,,1.96041,2.31281,,,
   Gihauser (Ve),1.48981,1.63281,0.0,0.0,0.0,2.22947,0.0,1.96041,2.31281,0.0,0.0,0.0
  Crush Strawberry Soda (Br),6.8171,7.47163,,,9.43707,4.59686,16.70025,13.75851,,,33.11854,
   Dr Pepper (Ve),6.8171,7.47163,0.0,0.0,9.43707,4.59686,16.70025,13.75851,0.0,0.0,33.11854,0.0
 250 Ml (Si),64.29926,63.86463,75.90745,,73.9849,58.83998,79.12215,63.67941,69.1537,55.22911,80.36262,58.46177
  Afri Cola (Br),36.19851,36.14415,40.54698,,39.92988,36.17418,25.48583,34.51482,38.54834,32.04064,28.01139,44.50414
    Africola (Ve),36.19851,36.14415,40.54698,0.0,39.92988,36.17418,25.48583,34.51482,38.54834,32.04064,28.01139,44.50414
  Almdudler (Br),12.32378,10.95019,29.36991,,18.45527,9.82753,14.12493,12.97039,4.17959,25.0606,,21.12443
    Africola (Ve),12.32378,10.95019,29.36991,0.0,18.45527,9.82753,14.12493,12.97039,4.17959,25.0606,0.0,21.12443
  Anw Cream Soda (Br),21.87187,23.97181,,,27.80307,15.13318,57.77426,23.68539,21.00789,12.52728,49.60828,19.45599
   Dr Pepper (Ve),21.87187,23.97181,0.0,0.0,27.80307,15.13318,57.77426,23.68539,21.00789,12.52728,49.60828,19.45599
  Big Peach Soda (Br),28.93822,29.24087,28.43918,,35.06369,26.21499,32.55033,27.36979,42.10003,24.03784,4.35921,12.91155
    Africola (Ve),28.93822,29.24087,28.43918,0.0,35.06369,26.21499,32.55033,27.36979,42.10003,24.03784,4.35921,12.91155
  Bluna Orange (Br),23.76652,23.67833,27.22472,,32.04462,18.8617,38.32253,28.92914,20.34405,23.74566,27.00334,13.49882
   Dr Pepper (Ve),23.76652,23.67833,27.22472,0.0,32.04462,18.8617,38.32253,28.92914,20.34405,23.74566,27.00334,13.49882
  Chupa Chups Grape (Br),21.39505,19.90849,40.67254,,21.56806,18.33137,45.09315,14.3946,24.80365,34.64581,49.9927,7.64164
   Dr Pepper (Ve),21.39505,19.90849,40.67254,0.0,21.56806,18.33137,45.09315,14.3946,24.80365,34.64581,49.9927,7.64164
  Crush Strawberry Soda (Br),11.74038,12.86759,,,14.1467,7.41036,38.9159,13.28991,10.42689,12.07374,35.34338,
   Dr Pepper (Ve),11.74038,12.86759,0.0,0.0,14.1467,7.41036,38.9159,13.28991,10.42689,12.07374,35.34338,0.0
  Dr Pepper Cherry (Br),1.76758,1.93732,,,5.22895,0.26601,3.51477,,4.15374,3.24432,,
   Dr Pepper (Ve),1.76758,1.93732,0.0,0.0,5.22895,0.26601,3.51477,0.0,4.15374,3.24432,0.0,0.0
 300 Ml (Si),5.80509,5.87629,5.58429,,5.22895,5.19626,12.2984,,8.30749,18.96188,,4.14799
  Barq Root Malt (Br),1.25333,1.37367,,,,0.31891,12.2984,,,7.10458,,1.99297
   Gihauser (Ve),1.25333,1.37367,0.0,0.0,0.0,0.31891,12.2984,0.0,0.0,7.10458,0.0,1.99297
  Big Red Soda (Br),0.77008,0.844,,,,,9.10433,,,5.25943,,
   Gihauser (Ve),0.77008,0.844,0.0,0.0,0.0,0.0,9.10433,0.0,0.0,5.25943,0.0,0.0
  Chupa Chups Grape (Br),0.23246,0.2548,,,,0.3479,,,,1.58771,,
   Dr Pepper (Ve),0.23246,0.2548,0.0,0.0,0.0,0.3479,0.0,0.0,0.0,1.58771,0.0,0.0
  Chupa Chups Orange (Br),0.44355,0.48613,,,,0.66378,,,,,,4.14799
   Gihauser (Ve),0.44355,0.48613,0.0,0.0,0.0,0.66378,0.0,0.0,0.0,0.0,0.0,4.14799
  Diet Coke (Br),1.17111,0.79743,5.58429,,,1.75264,,,,7.99853,,
   Munaken (Ve),1.17111,0.79743,5.58429,0.0,0.0,1.75264,0.0,0.0,0.0,7.99853,0.0,0.0
  Dr Pepper Cherry (Br),1.29257,1.41669,,,,1.93437,,,,8.82797,,
   Dr Pepper (Ve),1.29257,1.41669,0.0,0.0,0.0,1.93437,0.0,0.0,0.0,8.82797,0.0,0.0
  Dr Pepper Diet (Br),1.29257,1.41669,,,,1.93437,,,4.15374,,,
   Munaken (Ve),1.29257,1.41669,0.0,0.0,0.0,1.93437,0.0,0.0,4.15374,0.0,0.0,0.0
  Faxe Kondi (Br),1.29257,1.41669,,,5.22895,,,,4.15374,,,
   Sigma Industry (Ve),1.29257,1.41669,0.0,0.0,5.22895,0.0,0.0,0.0,4.15374,0.0,0.0,0.0
 345 Ml (Si),10.83304,11.87317,,,3.90033,12.8346,15.2817,6.60445,21.83688,,30.30531,1.41105
  Anw Cream Soda (Br),6.76304,7.41236,,,0.94041,9.77309,,4.16044,16.48145,,,
   Dr Pepper (Ve),6.76304,7.41236,0.0,0.0,0.94041,9.77309,0.0,4.16044,16.48145,0.0,0.0,0.0
  Bluna Orange (Br),2.74427,3.00774,,,2.91152,3.02979,,0.47334,8.22133,,,
   Dr Pepper (Ve),2.74427,3.00774,0.0,0.0,2.91152,3.02979,0.0,0.47334,8.22133,0.0,0.0,0.0
  Chupa Chups Grape (Br),5.72312,6.27258,,,3.03817,7.44079,,2.98658,14.13654,,,1.41105
   Dr Pepper (Ve),5.72312,6.27258,0.0,0.0,3.03817,7.44079,0.0,2.98658,14.13654,0.0,0.0,1.41105
  Crush Strawberry Soda (Br),2.28373,2.503,,,1.71791,2.78212,,0.45248,6.76774,,,
   Dr Pepper (Ve),2.28373,2.503,0.0,0.0,1.71791,2.78212,0.0,0.45248,6.76774,0.0,0.0,0.0
  Dr Pepper Cherry (Br),0.65666,0.71971,,,0.8621,0.66378,,1.12918,0.68486,,,
   Dr Pepper (Ve),0.65666,0.71971,0.0,0.0,0.8621,0.66378,0.0,1.12918,0.68486,0.0,0.0,0.0
  Fanta Apple (Br),1.29257,1.41669,,,,,15.2817,,,,30.30531,
   Mechou (Ve),1.29257,1.41669,0.0,0.0,0.0,0.0,15.2817,0.0,0.0,0.0,30.30531,0.0
  Gazoz Soda (Br),0.7518,0.82398,,,,,8.88833,,,,17.62658,
   Mechou (Ve),0.7518,0.82398,0.0,0.0,0.0,0.0,8.88833,0.0,0.0,0.0,17.62658,0.0
 500 Ml (Si),52.08973,53.8497,37.23189,,66.7137,47.97248,41.87816,63.02138,50.32789,58.31276,23.84634,19.80415
  Afri Cola (Br),25.62739,27.41869,7.68722,,28.40867,23.67322,32.93768,35.22111,23.06655,19.59778,23.84634,6.80412
    Africola (Ve),25.62739,27.41869,7.68722,0.0,28.40867,23.67322,32.93768,35.22111,23.06655,19.59778,23.84634,6.80412
  Almdudler (Br),5.43969,5.1029,9.86858,,3.52189,5.31564,12.0247,2.66879,,29.99196,,
    Africola (Ve),5.43969,5.1029,9.86858,0.0,3.52189,5.31564,12.0247,2.66879,0.0,29.99196,0.0,0.0
  Anw Cream Soda (Br),18.24383,18.44727,17.78405,,21.68098,14.81933,35.25293,23.54616,10.14629,39.86679,,
   Dr Pepper (Ve),18.24383,18.44727,17.78405,0.0,21.68098,14.81933,35.25293,23.54616,10.14629,39.86679,0.0,0.0
  Barq Root Malt (Br),1.58985,1.74252,,,,2.37923,,,5.10912,,,
   Gihauser (Ve),1.58985,1.74252,0.0,0.0,0.0,2.37923,0.0,0.0,5.10912,0.0,0.0,0.0
  Big Peach Soda (Br),17.38205,17.87736,13.48047,,34.36655,12.22207,8.50895,29.04919,7.89105,15.18233,,12.08777
    Africola (Ve),17.38205,17.87736,13.48047,0.0,34.36655,12.22207,8.50895,29.04919,7.89105,15.18233,0.0,12.08777
  Big Red Soda (Br),2.03783,2.23351,,,,3.04968,,,6.54871,,,
   Gihauser (Ve),2.03783,2.23351,0.0,0.0,0.0,3.04968,0.0,0.0,6.54871,0.0,0.0,0.0
  Bluna Orange (Br),11.44835,11.13082,16.27339,,19.7917,7.49927,18.2627,9.0609,11.43786,29.57152,,
   Dr Pepper (Ve),11.44835,11.13082,16.27339,0.0,19.7917,7.49927,18.2627,9.0609,11.43786,29.57152,0.0,0.0
  Chupa Chups Grape (Br),13.0816,12.30186,23.38421,,9.20172,13.5746,20.52569,14.1237,9.76031,30.70893,,
   Dr Pepper (Ve),13.0816,12.30186,23.38421,0.0,9.20172,13.5746,20.52569,14.1237,9.76031,30.70893,0.0,0.0
  Crush Strawberry Soda (Br),4.32316,4.73819,,,9.01516,2.22087,7.21877,5.93734,3.18355,6.83112,,
   Dr Pepper (Ve),4.32316,4.73819,0.0,0.0,9.01516,2.22087,7.21877,5.93734,3.18355,6.83112,0.0,0.0
  Diet Coke (Br),7.30427,7.10994,10.28773,,14.15501,4.13778,12.2984,3.67032,7.60561,20.84576,,4.14799
   Munaken (Ve),7.30427,7.10994,10.28773,0.0,14.15501,4.13778,12.2984,3.67032,7.60561,20.84576,0.0,4.14799
  Dr Pepper Cherry (Br),4.3628,4.78172,,,14.95829,0.99543,,3.78684,9.23987,,,
   Dr Pepper (Ve),4.3628,4.78172,0.0,0.0,14.95829,0.99543,0.0,3.78684,9.23987,0.0,0.0,0.0
  Dr Pepper Diet (Br),3.46169,3.79404,,,6.55138,2.75692,,1.08107,7.10806,,,7.71638
   Munaken (Ve),3.46169,3.79404,0.0,0.0,6.55138,2.75692,0.0,1.08107,7.10806,0.0,0.0,7.71638
  Dr Pepper Original (Br),1.01706,1.11474,,,,1.52208,,2.58925,,,,
   Dr Pepper (Ve),1.01706,1.11474,0.0,0.0,0.0,1.52208,0.0,2.58925,0.0,0.0,0.0,0.0
  Fanta Apple (Br),1.29257,1.41669,,,,1.93437,,,4.15374,,,
   Mechou (Ve),1.29257,1.41669,0.0,0.0,0.0,1.93437,0.0,0.0,4.15374,0.0,0.0,0.0
  Fanta Berry (Br),0.72755,0.79743,,,2.94332,,,1.8522,,,,
    Africola (Ve),0.72755,0.79743,0.0,0.0,2.94332,0.0,0.0,1.8522,0.0,0.0,0.0,0.0
